minute,acc,precision,recall,f1
0,83.05 ± 0.85,84.38 ± 2.05,81.34 ± 3.52,82.93 ± 0.80
10,83.63 ± 0.76,84.42 ± 2.17,82.65 ± 2.90,83.52 ± 0.71
20,83.74 ± 0.64,84.32 ± 1.80,83.00 ± 2.81,83.63 ± 0.60
30,83.62 ± 0.63,83.89 ± 1.81,83.37 ± 2.50,83.51 ± 0.59
40,83.67 ± 0.60,83.97 ± 1.75,83.37 ± 2.46,83.56 ± 0.56
50,83.69 ± 0.57,84.08 ± 1.86,83.28 ± 2.54,83.59 ± 0.55
60,83.76 ± 0.54,84.15 ± 1.88,83.36 ± 2.60,83.66 ± 0.50
70,83.93 ± 0.55,84.22 ± 1.67,83.64 ± 2.54,83.83 ± 0.50
80,83.85 ± 0.61,84.12 ± 1.68,83.59 ± 2.53,83.75 ± 0.56
90,83.85 ± 0.67,84.16 ± 1.73,83.54 ± 2.54,83.75 ± 0.63
100,83.82 ± 0.63,84.11 ± 1.69,83.53 ± 2.55,83.72 ± 0.58
110,83.87 ± 0.66,84.15 ± 1.65,83.59 ± 2.46,83.77 ± 0.61
120,83.87 ± 0.66,84.15 ± 1.65,83.59 ± 2.46,83.77 ± 0.61
130,83.87 ± 0.66,84.15 ± 1.65,83.59 ± 2.46,83.77 ± 0.61
140,83.87 ± 0.66,84.19 ± 1.69,83.54 ± 2.48,83.77 ± 0.60
150,83.82 ± 0.59,84.10 ± 1.80,83.54 ± 2.48,83.72 ± 0.54
160,83.79 ± 0.56,84.06 ± 1.86,83.54 ± 2.48,83.69 ± 0.52
170,83.79 ± 0.56,84.06 ± 1.86,83.54 ± 2.48,83.69 ± 0.52
180,83.82 ± 0.59,84.06 ± 1.87,83.59 ± 2.46,83.72 ± 0.55
190,83.82 ± 0.59,84.06 ± 1.87,83.59 ± 2.46,83.72 ± 0.55
200,83.82 ± 0.59,84.06 ± 1.87,83.59 ± 2.46,83.72 ± 0.55
210,83.76 ± 0.58,83.97 ± 1.92,83.59 ± 2.46,83.66 ± 0.55
220,83.76 ± 0.58,83.97 ± 1.92,83.59 ± 2.46,83.66 ± 0.55
230,83.76 ± 0.58,83.97 ± 1.92,83.59 ± 2.46,83.66 ± 0.55
240,83.76 ± 0.58,83.97 ± 1.92,83.59 ± 2.46,83.66 ± 0.55
250,83.76 ± 0.58,83.97 ± 1.92,83.59 ± 2.46,83.66 ± 0.55
260,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
270,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
280,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
290,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
300,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
310,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
320,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
330,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
340,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
350,83.78 ± 0.62,83.98 ± 1.92,83.64 ± 2.44,83.69 ± 0.58
360,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
370,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
380,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
390,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
400,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
410,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
420,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
430,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
440,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
450,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
460,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
470,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
480,83.81 ± 0.64,84.02 ± 1.86,83.64 ± 2.44,83.71 ± 0.60
