minute,acc,NR_F1,FR_F1,TR_F1,UR_F1
0,78.35 ± 3.64,68.52 ± 6.81,77.93 ± 4.95,86.25 ± 2.46,79.30 ± 6.72
10,78.49 ± 2.75,69.13 ± 4.10,77.52 ± 6.33,87.12 ± 3.73,79.94 ± 4.99
20,78.33 ± 2.83,68.93 ± 4.49,77.24 ± 6.36,87.10 ± 3.39,79.81 ± 5.13
30,78.33 ± 2.71,68.92 ± 4.11,77.30 ± 6.46,87.10 ± 3.39,79.81 ± 5.13
40,78.33 ± 2.71,68.92 ± 4.11,77.30 ± 6.46,87.10 ± 3.39,79.81 ± 5.13
50,78.33 ± 2.71,68.92 ± 4.11,77.30 ± 6.46,86.97 ± 3.33,79.95 ± 5.15
60,78.18 ± 2.68,68.71 ± 4.07,77.20 ± 6.19,86.67 ± 3.38,79.95 ± 5.15
70,78.18 ± 2.88,68.51 ± 4.44,77.24 ± 6.57,86.67 ± 3.38,80.08 ± 5.00
80,78.18 ± 2.88,68.51 ± 4.44,77.24 ± 6.57,86.67 ± 3.38,80.08 ± 5.00
90,78.26 ± 2.74,68.71 ± 4.07,77.41 ± 6.50,86.67 ± 3.38,80.08 ± 5.00
100,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.67 ± 3.38,80.08 ± 5.00
110,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.79 ± 3.42,79.94 ± 4.99
120,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.79 ± 3.42,79.94 ± 4.99
130,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.79 ± 3.42,79.94 ± 4.99
140,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.79 ± 3.42,79.94 ± 4.99
150,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.79 ± 3.42,79.94 ± 4.99
160,78.33 ± 2.71,68.91 ± 4.04,77.52 ± 6.33,86.67 ± 3.38,80.08 ± 5.00
170,78.41 ± 2.77,69.14 ± 4.18,77.52 ± 6.33,86.78 ± 3.57,80.08 ± 5.00
180,78.41 ± 2.77,69.14 ± 4.18,77.52 ± 6.33,86.78 ± 3.57,80.08 ± 5.00
190,78.41 ± 2.77,69.14 ± 4.18,77.52 ± 6.33,86.78 ± 3.57,80.08 ± 5.00
200,78.41 ± 2.77,69.14 ± 4.18,77.52 ± 6.33,86.78 ± 3.57,80.08 ± 5.00
210,78.41 ± 2.77,69.14 ± 4.18,77.52 ± 6.33,86.78 ± 3.57,80.08 ± 5.00
220,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.78 ± 3.57,80.20 ± 4.88
230,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.78 ± 3.57,80.20 ± 4.88
240,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.90 ± 3.47,80.06 ± 4.80
250,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.90 ± 3.47,80.06 ± 4.80
260,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.90 ± 3.47,80.06 ± 4.80
270,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.90 ± 3.47,80.06 ± 4.80
280,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.90 ± 3.47,80.06 ± 4.80
290,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.90 ± 3.47,80.06 ± 4.80
300,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.78 ± 3.57,80.20 ± 4.88
310,78.49 ± 2.63,69.34 ± 3.82,77.52 ± 6.33,86.78 ± 3.57,80.20 ± 4.88
320,78.41 ± 2.67,69.14 ± 3.87,77.52 ± 6.33,86.78 ± 3.57,80.05 ± 4.87
330,78.41 ± 2.67,69.14 ± 3.87,77.52 ± 6.33,86.78 ± 3.57,80.05 ± 4.87
