minute,acc,precision,recall,f1
0,80.45 ± 1.78,88.15 ± 3.10,70.49 ± 5.32,80.05 ± 1.84
10,87.59 ± 0.77,90.31 ± 2.98,84.00 ± 2.52,87.45 ± 0.76
20,89.84 ± 0.72,91.39 ± 2.87,87.89 ± 2.20,89.74 ± 0.72
30,90.16 ± 0.80,91.68 ± 2.77,88.28 ± 2.40,90.06 ± 0.80
40,90.43 ± 0.45,91.90 ± 2.46,88.61 ± 1.92,90.33 ± 0.45
50,90.87 ± 0.32,92.27 ± 2.38,89.15 ± 2.03,90.78 ± 0.31
60,91.01 ± 0.42,92.50 ± 2.29,89.22 ± 2.06,90.93 ± 0.41
70,91.20 ± 0.49,92.61 ± 2.37,89.51 ± 1.83,91.12 ± 0.49
80,91.30 ± 0.52,92.68 ± 2.50,89.64 ± 1.65,91.22 ± 0.52
90,91.34 ± 0.55,92.67 ± 2.52,89.73 ± 1.49,91.26 ± 0.56
100,91.43 ± 0.39,92.62 ± 2.43,89.99 ± 1.52,91.36 ± 0.41
110,91.64 ± 0.44,92.89 ± 2.43,90.12 ± 1.47,91.56 ± 0.45
120,91.90 ± 0.43,93.20 ± 2.28,90.33 ± 1.42,91.82 ± 0.45
130,91.94 ± 0.38,93.24 ± 2.23,90.40 ± 1.49,91.86 ± 0.39
140,92.06 ± 0.39,93.31 ± 2.23,90.57 ± 1.58,91.98 ± 0.39
150,92.25 ± 0.38,93.34 ± 2.32,90.95 ± 1.44,92.18 ± 0.39
160,92.33 ± 0.41,93.44 ± 2.24,91.04 ± 1.62,92.27 ± 0.41
170,92.42 ± 0.41,93.49 ± 2.19,91.18 ± 1.60,92.35 ± 0.41
180,92.47 ± 0.52,93.37 ± 2.22,91.41 ± 1.40,92.41 ± 0.52
190,92.49 ± 0.61,93.40 ± 2.21,91.39 ± 1.34,92.42 ± 0.61
200,92.40 ± 0.64,93.33 ± 2.27,91.29 ± 1.32,92.33 ± 0.65
210,92.42 ± 0.69,93.42 ± 2.27,91.22 ± 1.47,92.35 ± 0.70
220,92.57 ± 0.81,93.40 ± 2.21,91.55 ± 1.36,92.50 ± 0.82
230,92.70 ± 0.78,93.48 ± 2.26,91.76 ± 1.40,92.64 ± 0.79
240,92.72 ± 0.75,93.52 ± 2.26,91.75 ± 1.35,92.66 ± 0.76
250,92.76 ± 0.73,93.61 ± 2.27,91.72 ± 1.36,92.69 ± 0.74
260,92.72 ± 0.75,93.61 ± 2.22,91.65 ± 1.42,92.66 ± 0.76
270,92.81 ± 0.70,93.74 ± 2.27,91.68 ± 1.46,92.74 ± 0.71
280,92.88 ± 0.70,93.71 ± 2.23,91.84 ± 1.42,92.81 ± 0.71
290,92.90 ± 0.71,93.71 ± 2.23,91.88 ± 1.50,92.83 ± 0.72
300,92.91 ± 0.73,93.68 ± 2.19,91.95 ± 1.45,92.85 ± 0.74
310,92.96 ± 0.80,93.72 ± 2.24,92.02 ± 1.41,92.90 ± 0.81
320,92.93 ± 0.77,93.71 ± 2.25,91.96 ± 1.49,92.87 ± 0.78
330,92.96 ± 0.76,93.82 ± 2.09,91.92 ± 1.54,92.90 ± 0.77
340,92.96 ± 0.76,93.82 ± 2.09,91.91 ± 1.60,92.90 ± 0.77
350,93.03 ± 0.75,93.83 ± 2.09,92.06 ± 1.58,92.97 ± 0.76
360,93.05 ± 0.82,93.82 ± 2.10,92.08 ± 1.57,92.99 ± 0.83
370,93.09 ± 0.78,93.79 ± 2.03,92.19 ± 1.62,93.02 ± 0.79
380,93.04 ± 0.78,93.71 ± 2.10,92.15 ± 1.67,92.97 ± 0.79
390,93.05 ± 0.71,93.74 ± 2.09,92.16 ± 1.65,92.99 ± 0.72
400,93.07 ± 0.71,93.75 ± 2.09,92.19 ± 1.61,93.01 ± 0.72
410,93.05 ± 0.68,93.75 ± 2.06,92.16 ± 1.65,92.99 ± 0.69
420,93.04 ± 0.62,93.71 ± 2.00,92.16 ± 1.67,92.97 ± 0.63
430,93.14 ± 0.64,93.82 ± 2.03,92.26 ± 1.60,93.08 ± 0.65
440,93.18 ± 0.61,93.82 ± 1.99,92.33 ± 1.57,93.11 ± 0.61
450,93.24 ± 0.64,93.80 ± 2.02,92.51 ± 1.53,93.18 ± 0.64
460,93.24 ± 0.70,93.81 ± 2.08,92.51 ± 1.63,93.18 ± 0.71
470,93.24 ± 0.70,93.81 ± 2.08,92.51 ± 1.63,93.18 ± 0.71
480,93.29 ± 0.70,94.00 ± 1.99,92.41 ± 1.71,93.23 ± 0.71
