minute,acc,precision,recall,f1
0,85.31 ± 4.15,76.96 ± 10.75,96.32 ± 2.49,84.98 ± 4.05
10,85.62 ± 4.35,77.37 ± 11.02,96.32 ± 2.49,85.32 ± 4.27
20,85.62 ± 4.35,77.37 ± 11.02,96.32 ± 2.49,85.32 ± 4.27
30,85.94 ± 4.07,77.76 ± 10.59,96.32 ± 2.49,85.62 ± 3.99
40,86.25 ± 3.88,78.18 ± 10.18,96.32 ± 2.49,85.93 ± 3.79
50,86.25 ± 3.88,78.18 ± 10.18,96.32 ± 2.49,85.93 ± 3.79
60,86.25 ± 3.88,78.18 ± 10.18,96.32 ± 2.49,85.93 ± 3.79
70,86.25 ± 3.88,78.18 ± 10.18,96.32 ± 2.49,85.93 ± 3.79
80,86.25 ± 3.88,78.18 ± 10.18,96.32 ± 2.49,85.93 ± 3.79
90,86.25 ± 3.88,78.18 ± 10.18,96.32 ± 2.49,85.93 ± 3.79
100,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
110,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
120,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
130,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
140,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
150,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
160,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
170,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
180,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
190,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
200,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
210,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
220,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
230,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
240,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
250,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
260,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
270,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
280,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
290,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
300,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
310,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
320,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
330,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
340,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
350,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
360,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
370,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
380,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
390,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
400,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
410,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
420,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
430,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
440,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
450,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
460,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
470,85.94 ± 3.42,78.15 ± 10.13,95.81 ± 3.37,85.61 ± 3.32
480,86.25 ± 3.34,78.59 ± 9.75,95.81 ± 3.37,85.92 ± 3.23
