minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,46.33 ± 2.75,25.47 ± 8.58,40.71 ± 6.14,54.10 ± 5.36,51.10 ± 3.47
10,60.40 ± 2.40,72.46 ± 2.20,52.05 ± 4.92,61.51 ± 3.43,52.74 ± 9.22
20,60.30 ± 1.85,72.36 ± 3.99,52.77 ± 4.17,60.82 ± 4.41,52.16 ± 10.92
30,61.58 ± 1.87,73.91 ± 2.88,55.06 ± 2.85,60.84 ± 4.29,53.20 ± 9.70
40,62.74 ± 2.04,75.98 ± 3.11,55.55 ± 2.66,61.90 ± 4.25,54.05 ± 10.13
50,63.27 ± 2.84,77.37 ± 2.16,56.38 ± 3.30,61.87 ± 4.54,53.88 ± 11.54
60,63.47 ± 2.07,76.73 ± 1.74,56.70 ± 3.05,62.72 ± 4.12,54.59 ± 9.30
70,63.65 ± 1.90,77.28 ± 2.96,56.80 ± 3.28,62.58 ± 3.82,54.42 ± 9.55
80,63.87 ± 2.19,77.84 ± 1.76,57.10 ± 3.58,62.12 ± 4.27,55.36 ± 9.51
90,63.93 ± 2.52,78.10 ± 1.96,56.33 ± 3.92,62.67 ± 4.25,55.42 ± 9.51
100,64.04 ± 2.43,77.59 ± 2.28,56.93 ± 3.67,63.02 ± 4.10,55.53 ± 8.83
110,63.94 ± 2.11,77.51 ± 2.34,56.47 ± 2.86,63.37 ± 3.67,55.48 ± 8.72
120,63.82 ± 1.92,77.78 ± 2.23,55.95 ± 2.81,63.07 ± 3.91,55.34 ± 8.61
130,64.15 ± 1.91,78.51 ± 2.26,56.39 ± 2.87,62.94 ± 3.88,55.68 ± 8.39
140,64.21 ± 1.69,78.58 ± 2.37,56.56 ± 2.94,62.72 ± 3.74,55.81 ± 7.91
150,64.38 ± 1.61,78.71 ± 2.06,56.77 ± 2.76,62.78 ± 3.77,56.04 ± 7.93
160,64.33 ± 1.46,78.65 ± 2.12,56.67 ± 2.79,62.69 ± 3.61,55.96 ± 7.94
170,64.33 ± 1.62,78.59 ± 1.86,56.90 ± 2.82,62.50 ± 3.50,55.91 ± 8.59
180,64.25 ± 1.41,78.32 ± 2.40,57.05 ± 2.97,62.37 ± 3.56,55.80 ± 8.33
190,64.25 ± 1.21,78.17 ± 2.54,56.66 ± 2.64,62.60 ± 3.67,56.22 ± 7.31
200,64.30 ± 1.22,78.35 ± 2.83,56.53 ± 2.69,62.80 ± 3.79,56.24 ± 7.12
210,64.25 ± 1.24,78.26 ± 2.76,56.38 ± 2.59,63.14 ± 4.09,55.97 ± 7.23
220,64.02 ± 1.44,77.82 ± 2.46,56.44 ± 2.64,62.85 ± 3.96,55.67 ± 7.72
230,64.19 ± 1.39,78.07 ± 2.32,56.37 ± 2.44,63.15 ± 3.42,55.84 ± 7.93
240,64.07 ± 1.43,77.94 ± 2.63,56.35 ± 2.35,62.89 ± 3.75,55.69 ± 8.39
250,63.95 ± 1.54,77.79 ± 2.75,56.19 ± 2.40,62.86 ± 3.49,55.62 ± 8.31
260,63.91 ± 1.64,77.97 ± 2.51,55.81 ± 2.53,62.86 ± 3.49,55.56 ± 8.43
270,63.73 ± 1.21,77.59 ± 2.40,55.90 ± 2.90,62.66 ± 2.94,55.47 ± 7.66
280,63.61 ± 1.09,77.50 ± 2.55,55.76 ± 3.43,62.66 ± 2.94,55.30 ± 7.22
290,63.72 ± 0.94,77.88 ± 2.52,55.57 ± 3.54,62.63 ± 2.93,55.64 ± 6.85
300,63.66 ± 1.02,77.66 ± 2.45,55.28 ± 3.59,62.74 ± 2.92,55.54 ± 7.42
310,63.77 ± 1.13,77.57 ± 2.49,55.44 ± 3.71,62.97 ± 2.92,55.68 ± 7.49
320,63.94 ± 0.95,77.88 ± 2.47,55.59 ± 3.72,63.16 ± 2.52,55.68 ± 7.49
330,63.77 ± 0.99,77.88 ± 2.47,55.30 ± 3.55,63.10 ± 2.50,55.31 ± 7.98
340,63.94 ± 0.98,78.10 ± 2.53,55.44 ± 3.60,63.40 ± 2.80,55.31 ± 7.98
350,64.06 ± 1.03,78.16 ± 2.58,55.83 ± 3.33,63.40 ± 2.80,55.44 ± 8.00
360,64.06 ± 1.03,78.25 ± 2.40,55.77 ± 3.45,63.40 ± 2.80,55.45 ± 8.01
370,64.06 ± 1.19,78.17 ± 2.36,55.85 ± 3.42,63.59 ± 3.08,55.21 ± 8.52
380,64.06 ± 1.19,78.17 ± 2.36,55.85 ± 3.42,63.59 ± 3.08,55.21 ± 8.52
390,64.12 ± 1.17,78.26 ± 2.34,55.84 ± 3.50,63.68 ± 3.10,55.27 ± 8.59
400,64.01 ± 1.09,78.17 ± 2.25,55.70 ± 3.56,63.43 ± 3.02,55.27 ± 8.59
410,64.06 ± 0.98,78.17 ± 2.25,55.85 ± 3.60,63.49 ± 3.05,55.27 ± 8.59
420,64.29 ± 1.10,78.37 ± 2.38,56.05 ± 3.41,63.55 ± 3.08,55.72 ± 8.77
430,64.24 ± 1.13,78.28 ± 2.41,56.05 ± 3.41,63.55 ± 3.08,55.60 ± 8.68
440,64.18 ± 1.13,78.28 ± 2.41,56.01 ± 3.38,63.41 ± 3.02,55.54 ± 8.68
450,64.13 ± 1.22,78.21 ± 2.36,56.01 ± 3.38,63.34 ± 3.16,55.34 ± 9.30
460,64.18 ± 1.50,78.18 ± 2.45,56.16 ± 3.49,63.64 ± 3.33,54.89 ± 10.42
470,64.18 ± 1.50,78.18 ± 2.45,56.16 ± 3.49,63.64 ± 3.33,54.89 ± 10.42
480,64.24 ± 1.48,78.27 ± 2.43,56.16 ± 3.67,63.64 ± 3.33,54.99 ± 10.56
