minute,acc,f1_class0,f1_class1
0,69.29 ± 2.75,58.43 ± 5.41,75.20 ± 2.32
10,86.33 ± 1.84,84.98 ± 2.46,87.16 ± 1.66
20,89.74 ± 1.13,89.18 ± 1.09,90.02 ± 1.45
30,91.19 ± 0.70,90.78 ± 0.99,91.33 ± 0.80
40,91.54 ± 0.83,91.18 ± 1.03,91.64 ± 0.96
50,92.05 ± 0.95,91.75 ± 1.10,92.12 ± 1.07
60,92.15 ± 0.94,91.86 ± 1.11,92.22 ± 1.03
70,92.35 ± 0.82,92.09 ± 0.96,92.40 ± 0.96
80,92.32 ± 0.89,92.05 ± 1.02,92.37 ± 1.01
90,92.44 ± 0.91,92.18 ± 1.05,92.48 ± 1.02
100,92.83 ± 0.97,92.56 ± 1.13,92.92 ± 0.93
110,92.90 ± 1.04,92.62 ± 1.22,92.99 ± 0.99
120,93.08 ± 1.11,92.82 ± 1.28,93.17 ± 1.04
130,93.20 ± 1.06,92.95 ± 1.20,93.27 ± 1.03
140,93.26 ± 1.05,93.03 ± 1.20,93.33 ± 1.01
150,93.44 ± 1.08,93.22 ± 1.25,93.51 ± 1.03
160,93.63 ± 1.17,93.42 ± 1.35,93.68 ± 1.09
170,93.63 ± 1.17,93.42 ± 1.35,93.68 ± 1.10
180,93.56 ± 1.19,93.35 ± 1.36,93.62 ± 1.12
190,93.58 ± 1.25,93.36 ± 1.44,93.64 ± 1.17
200,93.58 ± 1.25,93.36 ± 1.44,93.64 ± 1.17
210,93.55 ± 1.27,93.34 ± 1.45,93.59 ± 1.18
220,93.61 ± 1.30,93.41 ± 1.48,93.65 ± 1.21
230,93.65 ± 1.29,93.45 ± 1.48,93.68 ± 1.20
240,93.66 ± 1.32,93.47 ± 1.49,93.70 ± 1.23
250,93.68 ± 1.27,93.48 ± 1.47,93.72 ± 1.17
260,93.64 ± 1.32,93.44 ± 1.51,93.69 ± 1.21
270,93.71 ± 1.26,93.51 ± 1.46,93.76 ± 1.17
280,93.70 ± 1.29,93.49 ± 1.48,93.74 ± 1.19
290,93.78 ± 1.22,93.58 ± 1.40,93.82 ± 1.12
300,93.81 ± 1.19,93.62 ± 1.37,93.85 ± 1.10
310,93.83 ± 1.15,93.63 ± 1.33,93.87 ± 1.07
320,93.86 ± 1.19,93.67 ± 1.36,93.90 ± 1.13
330,93.85 ± 1.18,93.65 ± 1.34,93.89 ± 1.12
340,93.88 ± 1.18,93.69 ± 1.34,93.92 ± 1.12
350,93.93 ± 1.22,93.75 ± 1.37,93.96 ± 1.16
360,93.96 ± 1.22,93.79 ± 1.37,93.99 ± 1.16
370,93.95 ± 1.21,93.77 ± 1.36,93.97 ± 1.16
380,93.93 ± 1.19,93.75 ± 1.35,93.96 ± 1.13
390,93.91 ± 1.20,93.74 ± 1.35,93.94 ± 1.14
400,93.93 ± 1.16,93.76 ± 1.31,93.96 ± 1.12
410,93.98 ± 1.19,93.80 ± 1.35,94.01 ± 1.13
420,94.00 ± 1.23,93.83 ± 1.37,94.02 ± 1.18
430,94.03 ± 1.15,93.86 ± 1.28,94.05 ± 1.11
440,94.06 ± 1.15,93.90 ± 1.27,94.09 ± 1.11
450,94.05 ± 1.12,93.88 ± 1.25,94.07 ± 1.09
460,94.11 ± 1.08,93.94 ± 1.22,94.14 ± 1.03
470,94.16 ± 1.06,94.01 ± 1.19,94.18 ± 1.02
480,94.18 ± 1.09,94.02 ± 1.23,94.20 ± 1.04
