minute,acc,precision,recall,f1
0,78.79 ± 1.89,79.71 ± 1.76,78.88 ± 1.84,78.46 ± 1.97
10,78.71 ± 1.23,79.75 ± 0.85,78.78 ± 1.10,78.39 ± 1.30
20,78.69 ± 0.89,79.68 ± 1.20,78.70 ± 0.91,78.35 ± 0.92
30,78.38 ± 0.81,79.39 ± 0.61,78.44 ± 0.70,78.03 ± 0.91
40,78.60 ± 1.05,79.58 ± 0.78,78.65 ± 0.89,78.26 ± 1.18
50,78.60 ± 1.23,79.58 ± 1.10,78.66 ± 1.12,78.27 ± 1.33
60,78.67 ± 1.57,79.55 ± 1.70,78.69 ± 1.56,78.34 ± 1.65
70,78.83 ± 1.25,79.70 ± 1.33,78.83 ± 1.27,78.50 ± 1.36
80,78.79 ± 1.12,79.66 ± 1.14,78.80 ± 1.08,78.46 ± 1.21
90,78.83 ± 0.99,79.68 ± 1.08,78.85 ± 0.96,78.52 ± 1.08
100,78.88 ± 1.01,79.73 ± 1.17,78.89 ± 1.01,78.56 ± 1.10
110,78.76 ± 0.82,79.63 ± 1.19,78.78 ± 0.91,78.44 ± 0.92
120,79.00 ± 0.98,79.83 ± 1.22,79.04 ± 0.98,78.71 ± 1.06
130,79.00 ± 1.14,79.84 ± 1.29,79.05 ± 1.15,78.70 ± 1.24
140,79.12 ± 1.12,79.94 ± 1.30,79.17 ± 1.14,78.83 ± 1.21
150,79.19 ± 1.09,80.01 ± 1.21,79.25 ± 1.08,78.90 ± 1.19
160,79.10 ± 1.10,79.94 ± 1.27,79.18 ± 1.08,78.82 ± 1.18
170,79.02 ± 1.21,79.85 ± 1.36,79.10 ± 1.20,78.74 ± 1.29
180,79.09 ± 1.18,79.93 ± 1.43,79.18 ± 1.18,78.82 ± 1.26
190,79.14 ± 1.22,79.96 ± 1.43,79.22 ± 1.22,78.87 ± 1.30
200,79.17 ± 1.20,79.96 ± 1.38,79.24 ± 1.18,78.89 ± 1.27
210,79.31 ± 1.29,80.11 ± 1.47,79.38 ± 1.27,79.04 ± 1.37
220,79.33 ± 1.22,80.14 ± 1.40,79.42 ± 1.20,79.06 ± 1.30
230,79.43 ± 1.15,80.24 ± 1.32,79.52 ± 1.12,79.16 ± 1.23
240,79.45 ± 1.14,80.24 ± 1.34,79.54 ± 1.12,79.19 ± 1.21
250,79.48 ± 1.12,80.25 ± 1.32,79.55 ± 1.11,79.22 ± 1.20
260,79.52 ± 1.09,80.31 ± 1.31,79.60 ± 1.09,79.26 ± 1.17
270,79.67 ± 1.34,80.44 ± 1.50,79.75 ± 1.34,79.41 ± 1.42
280,79.67 ± 1.26,80.44 ± 1.41,79.75 ± 1.25,79.41 ± 1.34
290,79.64 ± 1.29,80.42 ± 1.45,79.72 ± 1.28,79.38 ± 1.36
300,79.55 ± 1.34,80.32 ± 1.36,79.58 ± 1.33,79.28 ± 1.44
310,79.60 ± 1.32,80.36 ± 1.34,79.62 ± 1.32,79.32 ± 1.42
320,79.62 ± 1.31,80.38 ± 1.34,79.65 ± 1.32,79.35 ± 1.42
330,79.55 ± 1.09,80.33 ± 1.21,79.58 ± 1.09,79.28 ± 1.18
340,79.55 ± 0.76,80.33 ± 0.74,79.61 ± 0.75,79.29 ± 0.87
350,79.52 ± 0.85,80.29 ± 0.79,79.59 ± 0.83,79.26 ± 0.95
360,79.50 ± 0.86,80.27 ± 0.82,79.56 ± 0.83,79.24 ± 0.96
370,79.43 ± 0.76,80.19 ± 0.74,79.49 ± 0.75,79.17 ± 0.87
380,79.33 ± 0.85,80.07 ± 0.98,79.36 ± 0.86,79.06 ± 0.95
390,79.33 ± 0.81,80.06 ± 0.95,79.35 ± 0.81,79.06 ± 0.90
400,79.38 ± 0.82,80.11 ± 0.95,79.40 ± 0.82,79.11 ± 0.91
410,79.41 ± 0.82,80.13 ± 0.95,79.43 ± 0.82,79.14 ± 0.91
420,79.38 ± 0.81,80.10 ± 0.95,79.40 ± 0.81,79.11 ± 0.91
430,79.33 ± 0.84,80.06 ± 0.93,79.35 ± 0.83,79.06 ± 0.94
440,79.33 ± 0.84,80.06 ± 0.93,79.35 ± 0.83,79.06 ± 0.94
450,79.33 ± 0.84,80.06 ± 0.93,79.35 ± 0.83,79.06 ± 0.94
460,79.33 ± 0.81,80.05 ± 0.94,79.35 ± 0.80,79.06 ± 0.91
470,79.48 ± 0.73,80.18 ± 1.04,79.53 ± 0.73,79.21 ± 0.79
480,79.45 ± 0.73,80.16 ± 1.05,79.51 ± 0.73,79.19 ± 0.79
