minute,acc,precision,recall,f1
0,76.25 ± 13.19,82.21 ± 7.12,76.59 ± 13.26,72.64 ± 17.59
10,77.19 ± 12.13,82.80 ± 7.63,77.49 ± 11.88,74.14 ± 15.30
20,77.19 ± 12.13,82.80 ± 7.63,77.49 ± 11.88,74.14 ± 15.30
30,77.50 ± 10.86,82.81 ± 7.19,77.76 ± 9.89,74.90 ± 12.93
40,78.12 ± 10.60,83.38 ± 6.90,78.81 ± 9.44,75.85 ± 12.28
50,78.75 ± 9.67,83.33 ± 7.18,79.33 ± 7.24,76.86 ± 10.42
60,78.75 ± 9.67,83.33 ± 7.18,79.33 ± 7.24,76.86 ± 10.42
70,78.75 ± 9.67,83.33 ± 7.18,79.33 ± 7.24,76.86 ± 10.42
80,79.06 ± 9.73,83.77 ± 6.88,79.95 ± 7.51,77.28 ± 10.50
90,79.06 ± 9.73,83.77 ± 6.88,79.95 ± 7.51,77.28 ± 10.50
100,79.37 ± 9.53,83.88 ± 6.89,80.26 ± 7.05,77.75 ± 10.08
110,80.00 ± 8.80,84.16 ± 6.73,80.96 ± 6.13,78.54 ± 9.13
120,80.00 ± 8.80,84.16 ± 6.73,80.96 ± 6.13,78.54 ± 9.13
130,81.25 ± 8.98,84.91 ± 6.81,82.11 ± 6.62,79.87 ± 9.38
140,81.25 ± 8.98,84.91 ± 6.81,82.11 ± 6.62,79.87 ± 9.38
150,81.87 ± 8.24,85.14 ± 6.63,82.63 ± 5.94,80.59 ± 8.57
160,82.19 ± 8.09,85.26 ± 6.66,82.95 ± 5.53,81.00 ± 8.30
170,82.50 ± 8.59,85.48 ± 7.03,83.30 ± 6.13,81.34 ± 8.85
180,82.81 ± 8.04,85.61 ± 6.82,83.51 ± 5.88,81.62 ± 8.38
190,83.44 ± 7.04,85.90 ± 6.38,84.07 ± 5.35,82.30 ± 7.36
200,83.44 ± 7.04,85.90 ± 6.38,84.07 ± 5.35,82.30 ± 7.36
210,83.44 ± 7.04,85.90 ± 6.38,84.07 ± 5.35,82.30 ± 7.36
220,83.44 ± 7.04,85.90 ± 6.38,84.07 ± 5.35,82.30 ± 7.36
230,83.44 ± 7.04,85.90 ± 6.38,84.07 ± 5.35,82.30 ± 7.36
240,83.44 ± 7.04,85.90 ± 6.38,84.07 ± 5.35,82.30 ± 7.36
250,83.75 ± 6.59,86.06 ± 6.14,84.35 ± 5.18,82.62 ± 6.94
260,83.75 ± 6.59,86.06 ± 6.14,84.35 ± 5.18,82.62 ± 6.94
270,83.75 ± 6.59,86.06 ± 6.14,84.35 ± 5.18,82.62 ± 6.94
280,83.75 ± 6.59,86.06 ± 6.14,84.35 ± 5.18,82.62 ± 6.94
290,84.06 ± 6.38,86.20 ± 6.17,84.66 ± 4.70,83.01 ± 6.63
300,84.37 ± 6.25,86.34 ± 6.22,84.97 ± 4.27,83.38 ± 6.42
310,84.69 ± 6.85,86.58 ± 6.65,85.33 ± 5.01,83.71 ± 7.05
320,85.00 ± 6.41,86.73 ± 6.46,85.54 ± 4.87,83.99 ± 6.67
330,85.00 ± 6.41,86.73 ± 6.46,85.54 ± 4.87,83.99 ± 6.67
340,85.00 ± 6.41,86.73 ± 6.46,85.54 ± 4.87,83.99 ± 6.67
350,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
360,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
370,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
380,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
390,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
400,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
410,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
420,85.31 ± 6.50,86.96 ± 6.49,85.85 ± 4.89,84.32 ± 6.80
430,85.62 ± 6.09,87.12 ± 6.27,86.06 ± 4.78,84.61 ± 6.44
440,85.62 ± 6.09,87.12 ± 6.27,86.06 ± 4.78,84.61 ± 6.44
450,85.62 ± 6.09,87.12 ± 6.27,86.06 ± 4.78,84.61 ± 6.44
460,85.62 ± 6.09,87.12 ± 6.27,86.06 ± 4.78,84.61 ± 6.44
470,85.62 ± 6.09,87.12 ± 6.27,86.06 ± 4.78,84.61 ± 6.44
480,85.62 ± 6.09,87.12 ± 6.27,86.06 ± 4.78,84.61 ± 6.44
