minute,acc,precision,recall,f1
0,79.76 ± 1.64,85.55 ± 1.18,71.44 ± 4.63,79.44 ± 1.77
10,80.22 ± 0.97,83.44 ± 0.85,75.23 ± 2.34,80.03 ± 0.99
20,80.32 ± 0.93,83.36 ± 1.22,75.76 ± 2.19,80.16 ± 0.93
30,80.48 ± 1.23,83.47 ± 1.32,76.05 ± 2.53,80.32 ± 1.24
40,80.59 ± 1.06,83.36 ± 1.18,76.40 ± 2.17,80.44 ± 1.06
50,80.83 ± 1.01,83.38 ± 1.22,76.91 ± 2.06,80.68 ± 1.01
60,80.86 ± 1.11,83.34 ± 1.14,77.06 ± 2.19,80.70 ± 1.12
70,80.89 ± 0.87,83.31 ± 1.11,77.24 ± 1.99,80.73 ± 0.88
80,80.86 ± 0.82,83.21 ± 1.10,77.30 ± 1.84,80.71 ± 0.82
90,80.86 ± 0.80,83.14 ± 1.12,77.41 ± 1.88,80.71 ± 0.81
100,80.89 ± 0.77,83.17 ± 1.24,77.48 ± 1.72,80.74 ± 0.78
110,80.97 ± 0.80,83.23 ± 1.15,77.57 ± 1.92,80.82 ± 0.81
120,80.89 ± 0.86,83.18 ± 1.19,77.47 ± 1.88,80.74 ± 0.87
130,80.94 ± 0.86,83.21 ± 1.16,77.58 ± 1.95,80.79 ± 0.87
140,80.86 ± 0.85,83.05 ± 1.16,77.58 ± 1.99,80.71 ± 0.86
150,80.86 ± 0.83,83.02 ± 1.25,77.64 ± 1.74,80.71 ± 0.82
160,80.97 ± 0.80,83.09 ± 1.20,77.81 ± 1.68,80.83 ± 0.80
170,80.91 ± 0.79,83.00 ± 1.22,77.81 ± 1.68,80.77 ± 0.79
180,80.94 ± 0.71,83.05 ± 1.08,77.81 ± 1.68,80.80 ± 0.71
190,80.94 ± 0.71,83.05 ± 1.08,77.81 ± 1.68,80.80 ± 0.71
200,80.94 ± 0.71,83.05 ± 1.08,77.81 ± 1.68,80.80 ± 0.71
210,80.91 ± 0.70,83.00 ± 1.14,77.80 ± 1.56,80.78 ± 0.69
220,80.91 ± 0.70,83.00 ± 1.14,77.80 ± 1.56,80.78 ± 0.69
230,80.89 ± 0.68,82.95 ± 1.09,77.81 ± 1.60,80.75 ± 0.67
240,80.83 ± 0.67,82.88 ± 1.02,77.76 ± 1.57,80.70 ± 0.67
250,80.83 ± 0.67,82.88 ± 1.02,77.76 ± 1.57,80.70 ± 0.67
260,80.83 ± 0.70,82.84 ± 1.09,77.81 ± 1.61,80.70 ± 0.70
270,80.83 ± 0.70,82.84 ± 1.09,77.81 ± 1.61,80.70 ± 0.70
280,80.83 ± 0.72,82.81 ± 1.14,77.86 ± 1.52,80.70 ± 0.72
290,80.81 ± 0.74,82.77 ± 1.20,77.86 ± 1.52,80.67 ± 0.73
300,80.83 ± 0.70,82.77 ± 1.19,77.92 ± 1.50,80.70 ± 0.70
310,80.83 ± 0.70,82.77 ± 1.19,77.92 ± 1.50,80.70 ± 0.70
320,80.83 ± 0.70,82.77 ± 1.19,77.92 ± 1.50,80.70 ± 0.70
330,80.80 ± 0.72,82.72 ± 1.26,77.92 ± 1.50,80.67 ± 0.72
340,80.75 ± 0.66,82.66 ± 1.23,77.85 ± 1.46,80.61 ± 0.64
350,80.75 ± 0.66,82.66 ± 1.23,77.85 ± 1.46,80.61 ± 0.64
360,80.75 ± 0.66,82.66 ± 1.23,77.85 ± 1.46,80.61 ± 0.64
370,80.78 ± 0.69,82.67 ± 1.23,77.90 ± 1.50,80.64 ± 0.67
380,80.75 ± 0.71,82.66 ± 1.25,77.85 ± 1.46,80.61 ± 0.69
390,80.75 ± 0.71,82.66 ± 1.25,77.85 ± 1.46,80.61 ± 0.69
400,80.75 ± 0.71,82.66 ± 1.25,77.85 ± 1.46,80.61 ± 0.69
410,80.75 ± 0.71,82.66 ± 1.25,77.85 ± 1.46,80.61 ± 0.69
420,80.73 ± 0.68,82.65 ± 1.24,77.80 ± 1.42,80.59 ± 0.67
430,80.73 ± 0.68,82.65 ± 1.24,77.80 ± 1.42,80.59 ± 0.67
440,80.73 ± 0.68,82.65 ± 1.24,77.80 ± 1.42,80.59 ± 0.67
450,80.73 ± 0.68,82.65 ± 1.24,77.80 ± 1.42,80.59 ± 0.67
460,80.73 ± 0.68,82.65 ± 1.24,77.80 ± 1.42,80.59 ± 0.67
470,80.75 ± 0.68,82.67 ± 1.26,77.87 ± 1.30,80.62 ± 0.65
480,80.75 ± 0.68,82.67 ± 1.26,77.87 ± 1.30,80.62 ± 0.65
