minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,58.90 ± 2.54,28.88 ± 11.22,59.12 ± 5.25,73.87 ± 2.56,59.72 ± 4.40
10,66.01 ± 2.18,58.41 ± 6.86,61.75 ± 5.43,77.46 ± 5.28,64.01 ± 5.40
20,68.10 ± 2.77,64.90 ± 7.87,62.84 ± 5.74,78.29 ± 5.28,64.82 ± 4.62
30,68.22 ± 2.94,66.14 ± 6.93,62.98 ± 5.76,78.15 ± 5.41,64.55 ± 4.08
40,68.22 ± 3.04,65.92 ± 6.86,63.14 ± 5.67,77.81 ± 5.78,65.00 ± 4.11
50,68.34 ± 3.04,65.70 ± 7.01,62.80 ± 5.63,78.14 ± 5.38,65.63 ± 4.86
60,68.47 ± 2.84,65.79 ± 6.89,63.35 ± 5.41,78.07 ± 5.06,65.67 ± 5.24
70,68.35 ± 2.76,66.00 ± 6.96,63.17 ± 5.23,78.07 ± 5.06,65.18 ± 4.59
80,68.35 ± 2.48,66.19 ± 6.27,62.98 ± 4.98,78.07 ± 5.06,65.18 ± 4.59
90,68.34 ± 2.57,66.19 ± 5.81,63.52 ± 4.40,78.24 ± 5.25,64.54 ± 5.10
100,68.35 ± 2.28,66.19 ± 5.33,63.52 ± 4.40,77.99 ± 4.99,64.85 ± 5.18
110,68.34 ± 2.04,66.56 ± 4.99,63.36 ± 4.60,78.17 ± 5.17,64.53 ± 4.85
120,68.22 ± 2.03,66.36 ± 5.00,63.02 ± 4.40,78.17 ± 5.17,64.53 ± 4.85
130,68.34 ± 2.11,66.53 ± 5.06,63.15 ± 4.13,78.32 ± 4.99,64.53 ± 4.85
140,68.59 ± 1.92,67.27 ± 4.70,63.32 ± 4.22,78.32 ± 4.99,64.67 ± 4.72
150,68.71 ± 2.02,67.46 ± 4.90,63.15 ± 4.13,78.32 ± 4.99,65.17 ± 5.03
160,68.96 ± 1.97,67.30 ± 5.09,63.50 ± 3.50,78.84 ± 4.86,65.49 ± 5.10
170,68.96 ± 1.97,67.30 ± 5.09,63.50 ± 3.50,78.84 ± 4.86,65.49 ± 5.10
180,68.96 ± 1.97,67.30 ± 5.09,63.50 ± 3.50,78.84 ± 4.86,65.49 ± 5.10
190,68.96 ± 1.97,67.30 ± 5.09,63.50 ± 3.50,79.06 ± 5.08,65.34 ± 5.24
200,68.71 ± 1.86,67.11 ± 5.03,63.14 ± 4.19,78.91 ± 5.28,65.01 ± 4.92
210,68.59 ± 2.03,67.11 ± 5.03,62.83 ± 3.97,78.91 ± 5.28,64.87 ± 5.04
220,68.59 ± 2.53,66.96 ± 5.16,63.20 ± 3.26,78.41 ± 6.02,65.24 ± 5.71
230,68.71 ± 2.55,67.18 ± 5.38,63.37 ± 3.41,78.55 ± 5.86,65.24 ± 5.71
