minute,acc,precision,recall,f1
0,68.24 ± 2.57,61.98 ± 1.96,95.66 ± 3.09,64.99 ± 4.29
10,85.52 ± 0.48,79.70 ± 1.31,95.47 ± 2.71,85.19 ± 0.65
20,89.75 ± 0.41,85.46 ± 1.12,95.76 ± 2.69,89.60 ± 0.38
30,91.17 ± 0.45,87.71 ± 1.05,95.73 ± 2.60,91.06 ± 0.43
40,91.76 ± 0.60,88.53 ± 1.12,95.88 ± 2.63,91.66 ± 0.58
50,92.05 ± 0.63,88.96 ± 1.12,95.96 ± 2.71,91.95 ± 0.61
60,92.29 ± 0.62,89.30 ± 1.10,96.03 ± 2.71,92.20 ± 0.60
70,92.39 ± 0.69,89.45 ± 1.11,96.07 ± 2.69,92.31 ± 0.67
80,92.48 ± 0.64,89.54 ± 1.00,96.14 ± 2.69,92.40 ± 0.62
90,92.61 ± 0.68,89.73 ± 1.07,96.17 ± 2.72,92.53 ± 0.67
100,92.76 ± 0.70,89.96 ± 1.16,96.20 ± 2.66,92.68 ± 0.68
110,92.81 ± 0.66,90.03 ± 1.19,96.25 ± 2.59,92.73 ± 0.65
120,93.07 ± 0.58,90.40 ± 1.18,96.32 ± 2.50,92.99 ± 0.56
130,93.22 ± 0.60,90.62 ± 1.12,96.36 ± 2.44,93.14 ± 0.58
140,93.36 ± 0.58,90.85 ± 1.23,96.39 ± 2.37,93.29 ± 0.56
150,93.51 ± 0.52,91.10 ± 1.36,96.39 ± 2.28,93.43 ± 0.51
160,93.55 ± 0.54,91.22 ± 1.36,96.32 ± 2.24,93.47 ± 0.52
170,93.56 ± 0.55,91.25 ± 1.34,96.32 ± 2.24,93.49 ± 0.53
180,93.51 ± 0.56,91.20 ± 1.28,96.24 ± 2.33,93.44 ± 0.54
190,93.54 ± 0.50,91.21 ± 1.32,96.31 ± 2.29,93.47 ± 0.48
200,93.54 ± 0.46,91.31 ± 1.28,96.20 ± 2.34,93.47 ± 0.45
210,93.60 ± 0.49,91.36 ± 1.18,96.24 ± 2.28,93.53 ± 0.48
220,93.66 ± 0.46,91.41 ± 1.30,96.32 ± 2.25,93.59 ± 0.45
230,93.79 ± 0.50,91.57 ± 1.28,96.39 ± 2.21,93.72 ± 0.49
240,93.84 ± 0.47,91.64 ± 1.34,96.43 ± 2.15,93.77 ± 0.46
250,93.91 ± 0.53,91.77 ± 1.38,96.43 ± 2.15,93.85 ± 0.52
260,93.97 ± 0.57,91.78 ± 1.38,96.55 ± 2.18,93.90 ± 0.56
270,94.00 ± 0.61,91.84 ± 1.38,96.55 ± 2.18,93.94 ± 0.60
280,94.09 ± 0.53,92.02 ± 1.37,96.55 ± 2.18,94.03 ± 0.52
290,94.20 ± 0.49,92.20 ± 1.27,96.55 ± 2.18,94.14 ± 0.48
300,94.20 ± 0.49,92.20 ± 1.27,96.55 ± 2.18,94.14 ± 0.48
310,94.22 ± 0.48,92.20 ± 1.27,96.59 ± 2.11,94.16 ± 0.47
320,94.22 ± 0.48,92.20 ± 1.27,96.59 ± 2.11,94.16 ± 0.47
330,94.22 ± 0.50,92.20 ± 1.30,96.59 ± 2.11,94.16 ± 0.49
340,94.24 ± 0.48,92.23 ± 1.25,96.59 ± 2.11,94.18 ± 0.47
350,94.33 ± 0.58,92.38 ± 1.21,96.59 ± 2.11,94.27 ± 0.58
360,94.33 ± 0.58,92.38 ± 1.21,96.59 ± 2.11,94.27 ± 0.58
370,94.32 ± 0.52,92.38 ± 1.24,96.55 ± 2.08,94.26 ± 0.52
380,94.30 ± 0.54,92.38 ± 1.24,96.52 ± 2.06,94.24 ± 0.53
390,94.33 ± 0.56,92.44 ± 1.28,96.52 ± 2.06,94.27 ± 0.55
400,94.37 ± 0.55,92.50 ± 1.21,96.52 ± 2.06,94.31 ± 0.54
410,94.35 ± 0.56,92.50 ± 1.21,96.48 ± 2.12,94.29 ± 0.56
420,94.37 ± 0.59,92.53 ± 1.22,96.48 ± 2.12,94.31 ± 0.59
430,94.39 ± 0.58,92.57 ± 1.27,96.48 ± 2.12,94.33 ± 0.57
440,94.39 ± 0.58,92.57 ± 1.27,96.48 ± 2.12,94.33 ± 0.57
450,94.46 ± 0.61,92.69 ± 1.36,96.48 ± 2.12,94.41 ± 0.61
460,94.50 ± 0.55,92.74 ± 1.35,96.52 ± 2.06,94.44 ± 0.54
470,94.52 ± 0.54,92.74 ± 1.35,96.56 ± 2.00,94.46 ± 0.53
480,94.53 ± 0.57,92.72 ± 1.29,96.59 ± 1.97,94.48 ± 0.57
