minute,acc,precision,recall,f1
0,84.06 ± 4.24,89.28 ± 5.34,80.68 ± 6.16,83.67 ± 4.34
10,84.06 ± 4.24,89.28 ± 5.34,80.68 ± 6.16,83.67 ± 4.34
20,84.06 ± 4.24,89.28 ± 5.34,80.68 ± 6.16,83.67 ± 4.34
30,84.06 ± 4.24,89.28 ± 5.34,80.68 ± 6.16,83.67 ± 4.34
40,84.06 ± 4.24,89.28 ± 5.34,80.68 ± 6.16,83.67 ± 4.34
50,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
60,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
70,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
80,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
90,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
100,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
110,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
120,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
130,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
140,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
150,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
160,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
170,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
180,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
190,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
200,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
210,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
220,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
230,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
240,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
250,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
260,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
270,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
280,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
290,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
300,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
310,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
320,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
330,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
340,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
350,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
360,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
370,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
380,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
390,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
400,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
410,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
420,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
430,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
440,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
450,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
460,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
470,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
480,84.38 ± 4.19,89.32 ± 5.37,81.16 ± 6.03,83.98 ± 4.29
