minute,acc,precision,recall,f1
0,80.46 ± 1.13,83.63 ± 1.52,75.54 ± 1.23,80.27 ± 1.19
10,80.35 ± 1.11,82.04 ± 1.70,77.60 ± 1.09,80.20 ± 1.10
20,80.59 ± 1.16,82.16 ± 1.45,77.99 ± 0.90,80.45 ± 1.13
30,80.45 ± 1.21,82.13 ± 1.70,77.72 ± 0.77,80.31 ± 1.17
40,80.48 ± 1.36,82.14 ± 1.88,77.77 ± 0.89,80.34 ± 1.33
50,80.43 ± 1.40,82.03 ± 1.85,77.77 ± 1.01,80.29 ± 1.36
60,80.38 ± 1.51,81.91 ± 1.90,77.85 ± 1.12,80.24 ± 1.47
70,80.35 ± 1.23,81.84 ± 1.60,77.91 ± 0.95,80.22 ± 1.20
80,80.43 ± 1.31,81.88 ± 1.72,78.07 ± 1.03,80.30 ± 1.29
90,80.48 ± 1.30,81.90 ± 1.72,78.18 ± 0.93,80.35 ± 1.28
100,80.56 ± 1.41,82.01 ± 1.86,78.24 ± 0.99,80.43 ± 1.39
110,80.56 ± 1.28,82.03 ± 1.70,78.26 ± 0.87,80.43 ± 1.25
120,80.57 ± 1.24,82.03 ± 1.61,78.26 ± 0.87,80.43 ± 1.21
130,80.57 ± 1.20,82.03 ± 1.66,78.25 ± 0.76,80.43 ± 1.17
140,80.51 ± 1.21,81.93 ± 1.67,78.25 ± 0.76,80.38 ± 1.17
150,80.56 ± 1.18,82.03 ± 1.63,78.25 ± 0.76,80.43 ± 1.16
160,80.62 ± 1.23,82.06 ± 1.65,78.37 ± 0.79,80.49 ± 1.20
170,80.67 ± 1.14,82.08 ± 1.56,78.47 ± 0.72,80.54 ± 1.12
180,80.70 ± 1.18,82.12 ± 1.61,78.47 ± 0.72,80.57 ± 1.15
190,80.72 ± 1.21,82.13 ± 1.62,78.52 ± 0.79,80.59 ± 1.19
200,80.72 ± 1.24,82.09 ± 1.66,78.58 ± 0.76,80.59 ± 1.22
210,80.75 ± 1.25,82.10 ± 1.67,78.63 ± 0.74,80.62 ± 1.23
220,80.70 ± 1.21,82.04 ± 1.62,78.56 ± 0.66,80.56 ± 1.18
230,80.70 ± 1.15,81.99 ± 1.55,78.62 ± 0.58,80.56 ± 1.12
240,80.70 ± 1.15,81.99 ± 1.55,78.62 ± 0.58,80.56 ± 1.12
250,80.70 ± 1.15,81.96 ± 1.54,78.67 ± 0.58,80.56 ± 1.12
260,80.70 ± 1.13,81.96 ± 1.53,78.67 ± 0.56,80.56 ± 1.11
270,80.67 ± 1.12,81.91 ± 1.50,78.67 ± 0.56,80.54 ± 1.09
280,80.67 ± 1.12,81.91 ± 1.50,78.67 ± 0.56,80.54 ± 1.09
290,80.62 ± 1.14,81.85 ± 1.50,78.62 ± 0.62,80.48 ± 1.11
300,80.62 ± 1.14,81.84 ± 1.49,78.62 ± 0.62,80.49 ± 1.11
310,80.64 ± 1.17,81.89 ± 1.55,78.62 ± 0.62,80.51 ± 1.15
320,80.64 ± 1.17,81.89 ± 1.55,78.62 ± 0.62,80.51 ± 1.15
330,80.64 ± 1.17,81.88 ± 1.56,78.62 ± 0.62,80.51 ± 1.15
340,80.67 ± 1.19,81.89 ± 1.56,78.67 ± 0.66,80.54 ± 1.16
350,80.64 ± 1.17,81.85 ± 1.54,78.67 ± 0.66,80.51 ± 1.15
360,80.62 ± 1.21,81.84 ± 1.55,78.62 ± 0.73,80.49 ± 1.19
370,80.62 ± 1.21,81.84 ± 1.55,78.62 ± 0.73,80.49 ± 1.19
380,80.59 ± 1.25,81.80 ± 1.61,78.62 ± 0.73,80.46 ± 1.23
390,80.59 ± 1.25,81.80 ± 1.61,78.62 ± 0.73,80.46 ± 1.23
400,80.59 ± 1.25,81.80 ± 1.61,78.62 ± 0.73,80.46 ± 1.23
410,80.59 ± 1.25,81.80 ± 1.61,78.62 ± 0.73,80.46 ± 1.23
420,80.62 ± 1.27,81.85 ± 1.64,78.62 ± 0.73,80.49 ± 1.24
430,80.62 ± 1.27,81.85 ± 1.64,78.62 ± 0.73,80.49 ± 1.24
440,80.62 ± 1.27,81.85 ± 1.64,78.62 ± 0.73,80.49 ± 1.24
450,80.62 ± 1.27,81.85 ± 1.64,78.62 ± 0.73,80.49 ± 1.24
460,80.64 ± 1.30,81.87 ± 1.66,78.68 ± 0.77,80.52 ± 1.28
470,80.64 ± 1.30,81.87 ± 1.66,78.68 ± 0.77,80.52 ± 1.28
480,80.64 ± 1.30,81.87 ± 1.66,78.68 ± 0.77,80.52 ± 1.28
