minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,54.32 ± 2.04,37.20 ± 9.62,51.96 ± 5.48,64.44 ± 1.45,56.34 ± 1.93
10,64.66 ± 0.87,70.21 ± 3.21,59.69 ± 3.50,69.07 ± 2.21,59.31 ± 2.80
20,65.00 ± 1.06,72.25 ± 3.56,59.73 ± 3.38,68.86 ± 2.94,58.61 ± 3.70
30,66.55 ± 0.88,75.72 ± 2.28,60.97 ± 3.42,69.42 ± 2.92,59.15 ± 4.72
40,67.23 ± 1.11,76.87 ± 3.06,61.18 ± 3.37,70.20 ± 2.17,59.69 ± 5.17
50,68.04 ± 1.44,77.98 ± 2.58,61.75 ± 3.76,70.89 ± 2.67,60.03 ± 6.67
60,68.18 ± 1.31,78.14 ± 2.50,61.89 ± 3.90,71.04 ± 3.19,60.03 ± 6.51
70,68.65 ± 1.22,78.67 ± 1.97,62.74 ± 3.82,71.32 ± 3.30,60.18 ± 7.43
80,68.58 ± 1.49,78.08 ± 2.08,62.91 ± 4.57,70.83 ± 3.14,60.60 ± 7.68
90,68.78 ± 1.54,78.46 ± 1.75,62.81 ± 4.83,70.83 ± 3.31,61.34 ± 6.56
100,69.26 ± 1.97,78.97 ± 1.71,63.49 ± 5.01,71.24 ± 3.48,61.80 ± 6.18
110,69.12 ± 1.66,78.99 ± 1.43,63.28 ± 4.41,71.24 ± 3.34,61.29 ± 7.22
120,69.46 ± 1.64,79.40 ± 1.31,63.66 ± 4.65,71.24 ± 2.72,61.89 ± 7.40
130,69.39 ± 1.59,79.08 ± 2.26,63.59 ± 5.06,71.39 ± 2.89,61.76 ± 6.94
140,69.19 ± 1.50,78.93 ± 2.32,63.21 ± 5.07,71.39 ± 2.89,61.42 ± 6.87
150,69.26 ± 1.57,79.04 ± 2.30,63.13 ± 4.93,71.48 ± 2.96,61.48 ± 6.97
160,68.99 ± 1.60,78.64 ± 2.35,63.13 ± 4.96,71.12 ± 2.98,61.15 ± 6.74
170,69.26 ± 1.46,78.94 ± 2.56,63.63 ± 4.74,71.22 ± 2.87,61.29 ± 6.86
180,69.53 ± 1.47,79.31 ± 2.61,64.05 ± 4.47,71.22 ± 2.87,61.61 ± 7.09
190,69.53 ± 1.70,79.30 ± 2.46,64.21 ± 4.72,71.22 ± 2.87,61.47 ± 6.98
200,69.53 ± 1.56,79.36 ± 2.03,64.00 ± 4.96,71.22 ± 2.87,61.66 ± 6.95
210,69.60 ± 1.68,79.36 ± 2.03,64.00 ± 4.96,71.43 ± 2.67,61.74 ± 7.02
220,69.66 ± 1.79,79.57 ± 2.25,63.73 ± 5.33,71.43 ± 2.67,62.05 ± 6.49
230,69.87 ± 1.91,79.82 ± 2.48,63.85 ± 5.16,71.66 ± 3.28,62.21 ± 6.62
240,69.87 ± 1.91,79.82 ± 2.48,63.85 ± 5.16,71.66 ± 3.28,62.21 ± 6.62
250,69.80 ± 2.03,79.67 ± 2.36,63.63 ± 5.42,71.77 ± 3.08,62.22 ± 6.65
260,69.86 ± 2.07,79.72 ± 2.11,63.63 ± 5.42,71.86 ± 3.23,62.30 ± 6.70
270,69.87 ± 2.33,80.14 ± 2.22,63.56 ± 5.50,71.86 ± 3.23,61.98 ± 6.67
280,69.93 ± 2.31,80.14 ± 2.22,63.77 ± 5.30,71.86 ± 3.23,62.06 ± 6.72
290,70.00 ± 2.30,80.03 ± 2.54,63.77 ± 5.30,72.06 ± 3.38,62.35 ± 6.20
300,70.14 ± 2.35,80.19 ± 2.40,63.84 ± 5.37,72.16 ± 3.47,62.54 ± 6.03
310,70.20 ± 2.32,80.19 ± 2.40,63.84 ± 5.37,72.25 ± 3.38,62.70 ± 6.15
320,70.20 ± 2.32,80.19 ± 2.40,63.84 ± 5.37,72.25 ± 3.38,62.70 ± 6.15
330,70.20 ± 2.29,80.30 ± 2.50,64.13 ± 5.29,71.95 ± 3.42,62.49 ± 6.74
340,70.20 ± 2.28,80.41 ± 2.58,64.26 ± 5.09,71.95 ± 3.42,62.20 ± 7.28
350,70.27 ± 2.31,80.78 ± 2.50,64.26 ± 5.09,71.86 ± 3.28,62.21 ± 7.24
360,70.34 ± 2.40,80.89 ± 2.60,64.26 ± 5.09,72.06 ± 3.15,62.21 ± 7.24
370,70.34 ± 2.40,80.89 ± 2.60,64.26 ± 5.09,72.06 ± 3.15,62.21 ± 7.24
380,70.34 ± 2.40,80.89 ± 2.60,64.26 ± 5.09,72.06 ± 3.15,62.21 ± 7.24
390,70.34 ± 2.50,80.79 ± 2.78,64.18 ± 5.03,72.26 ± 3.23,62.21 ± 7.24
400,70.34 ± 2.50,80.79 ± 2.78,64.18 ± 5.03,72.26 ± 3.23,62.21 ± 7.24
410,70.34 ± 2.50,80.79 ± 2.78,64.18 ± 5.03,72.26 ± 3.23,62.21 ± 7.24
420,70.41 ± 2.50,80.94 ± 2.83,64.26 ± 5.09,72.26 ± 3.23,62.21 ± 7.24
430,70.54 ± 2.59,80.94 ± 2.83,64.47 ± 4.98,72.47 ± 3.17,62.38 ± 7.39
440,70.54 ± 2.59,80.94 ± 2.83,64.47 ± 4.98,72.47 ± 3.17,62.38 ± 7.39
450,70.54 ± 2.59,81.14 ± 2.71,64.47 ± 4.98,72.28 ± 2.91,62.38 ± 7.39
460,70.61 ± 2.69,81.29 ± 2.78,64.39 ± 4.92,72.58 ± 3.00,62.18 ± 8.03
470,70.41 ± 2.68,81.04 ± 2.76,64.11 ± 4.98,72.49 ± 2.89,61.98 ± 7.99
480,70.41 ± 2.68,81.04 ± 2.76,64.11 ± 4.98,72.49 ± 2.89,61.98 ± 7.99
