minute,acc,precision,recall,f1
0,62.52 ± 2.75,57.42 ± 1.88,98.26 ± 0.75,56.35 ± 4.73
10,83.45 ± 1.60,76.17 ± 1.92,97.75 ± 0.81,82.88 ± 1.83
20,88.34 ± 1.20,82.27 ± 1.96,97.82 ± 1.00,88.11 ± 1.27
30,90.40 ± 0.77,85.20 ± 1.56,97.82 ± 0.99,90.25 ± 0.80
40,91.09 ± 0.66,86.29 ± 1.55,97.71 ± 0.99,90.97 ± 0.68
50,91.59 ± 0.71,87.05 ± 1.64,97.71 ± 0.97,91.48 ± 0.73
60,91.75 ± 0.70,87.33 ± 1.61,97.71 ± 0.97,91.64 ± 0.72
70,91.99 ± 0.53,87.67 ± 1.35,97.75 ± 0.99,91.89 ± 0.55
80,92.08 ± 0.57,87.79 ± 1.35,97.79 ± 1.01,91.98 ± 0.59
90,92.23 ± 0.52,88.07 ± 1.35,97.71 ± 1.10,92.13 ± 0.54
100,92.36 ± 0.48,88.30 ± 1.38,97.67 ± 1.14,92.26 ± 0.48
110,92.45 ± 0.54,88.43 ± 1.42,97.71 ± 1.10,92.35 ± 0.55
120,92.70 ± 0.61,88.77 ± 1.48,97.82 ± 0.96,92.61 ± 0.62
130,92.81 ± 0.58,88.91 ± 1.42,97.86 ± 0.98,92.72 ± 0.59
140,92.96 ± 0.64,89.12 ± 1.49,97.90 ± 0.94,92.87 ± 0.65
150,93.24 ± 0.71,89.59 ± 1.62,97.90 ± 0.94,93.15 ± 0.72
160,93.33 ± 0.71,89.71 ± 1.64,97.94 ± 0.89,93.24 ± 0.72
170,93.33 ± 0.71,89.71 ± 1.64,97.94 ± 0.89,93.24 ± 0.72
180,93.31 ± 0.63,89.70 ± 1.54,97.90 ± 0.93,93.22 ± 0.64
190,93.33 ± 0.74,89.73 ± 1.66,97.91 ± 0.83,93.24 ± 0.75
200,93.33 ± 0.73,89.79 ± 1.65,97.83 ± 0.86,93.24 ± 0.75
210,93.36 ± 0.77,89.87 ± 1.69,97.79 ± 0.83,93.28 ± 0.78
220,93.40 ± 0.74,89.92 ± 1.65,97.79 ± 0.83,93.32 ± 0.75
230,93.51 ± 0.71,90.11 ± 1.62,97.79 ± 0.83,93.43 ± 0.72
240,93.55 ± 0.74,90.17 ± 1.67,97.79 ± 0.83,93.47 ± 0.75
250,93.58 ± 0.78,90.24 ± 1.71,97.79 ± 0.83,93.50 ± 0.79
260,93.56 ± 0.79,90.21 ± 1.73,97.79 ± 0.83,93.49 ± 0.79
270,93.67 ± 0.83,90.37 ± 1.77,97.83 ± 0.80,93.60 ± 0.84
280,93.77 ± 0.81,90.53 ± 1.74,97.83 ± 0.80,93.69 ± 0.82
290,93.84 ± 0.71,90.64 ± 1.57,97.83 ± 0.80,93.76 ± 0.72
300,93.82 ± 0.73,90.64 ± 1.60,97.79 ± 0.85,93.74 ± 0.75
310,93.84 ± 0.71,90.66 ± 1.56,97.79 ± 0.85,93.76 ± 0.72
320,93.86 ± 0.71,90.67 ± 1.56,97.83 ± 0.87,93.78 ± 0.72
330,93.87 ± 0.73,90.70 ± 1.59,97.83 ± 0.87,93.80 ± 0.73
340,93.89 ± 0.73,90.73 ± 1.58,97.83 ± 0.87,93.82 ± 0.73
350,93.95 ± 0.73,90.82 ± 1.57,97.83 ± 0.87,93.88 ± 0.73
360,93.97 ± 0.68,90.88 ± 1.52,97.80 ± 0.86,93.90 ± 0.68
370,94.00 ± 0.68,90.91 ± 1.54,97.84 ± 0.80,93.93 ± 0.69
380,94.02 ± 0.68,90.94 ± 1.53,97.84 ± 0.80,93.95 ± 0.69
390,94.08 ± 0.69,91.03 ± 1.58,97.84 ± 0.80,94.01 ± 0.69
400,94.11 ± 0.66,91.09 ± 1.52,97.84 ± 0.80,94.04 ± 0.66
410,94.11 ± 0.66,91.09 ± 1.52,97.84 ± 0.80,94.04 ± 0.66
420,94.13 ± 0.68,91.12 ± 1.57,97.84 ± 0.80,94.06 ± 0.68
430,94.19 ± 0.67,91.21 ± 1.54,97.84 ± 0.80,94.12 ± 0.67
440,94.19 ± 0.67,91.21 ± 1.54,97.84 ± 0.80,94.12 ± 0.67
450,94.30 ± 0.64,91.39 ± 1.50,97.84 ± 0.80,94.23 ± 0.64
460,94.33 ± 0.66,91.45 ± 1.53,97.84 ± 0.80,94.27 ± 0.66
470,94.35 ± 0.67,91.48 ± 1.55,97.84 ± 0.80,94.29 ± 0.68
480,94.41 ± 0.65,91.54 ± 1.49,97.87 ± 0.81,94.34 ± 0.66
