minute,acc,precision,recall,f1
0,83.44 ± 5.82,93.15 ± 4.86,75.73 ± 8.15,83.13 ± 5.73
10,83.44 ± 5.82,93.15 ± 4.86,75.73 ± 8.15,83.13 ± 5.73
20,83.44 ± 5.82,93.15 ± 4.86,75.73 ± 8.15,83.13 ± 5.73
30,83.44 ± 5.82,93.15 ± 4.86,75.73 ± 8.15,83.13 ± 5.73
40,83.44 ± 5.82,93.15 ± 4.86,75.73 ± 8.15,83.13 ± 5.73
50,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
60,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
70,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
80,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
90,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
100,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
110,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
120,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
130,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
140,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
150,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
160,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
170,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
180,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
190,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
200,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
210,83.12 ± 6.13,92.46 ± 5.16,75.73 ± 8.15,82.83 ± 6.03
220,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
230,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
240,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
250,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
260,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
270,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
280,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
290,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
300,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
310,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
320,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
330,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
340,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
350,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
360,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
370,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
380,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
390,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
400,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
410,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
420,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
430,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
440,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
450,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
460,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
470,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
480,83.44 ± 6.14,92.48 ± 5.18,76.22 ± 8.20,83.13 ± 6.04
