minute,Acc,Pre,Recall,F1
0,50.00 ± 0.09,20.00 ± 24.49,39.74 ± 48.68,33.32 ± 0.25
10,58.17 ± 0.82,57.71 ± 1.35,63.22 ± 3.85,57.21 ± 1.16
20,58.28 ± 0.60,57.45 ± 0.89,64.57 ± 2.79,57.30 ± 0.80
30,58.33 ± 0.86,57.60 ± 0.92,64.12 ± 3.47,57.39 ± 1.05
40,58.74 ± 1.17,57.84 ± 1.18,64.61 ± 3.42,57.71 ± 1.37
50,58.68 ± 0.99,57.81 ± 1.22,64.17 ± 3.89,57.68 ± 1.22
60,58.58 ± 0.89,57.79 ± 1.12,64.01 ± 3.63,57.60 ± 1.04
70,58.98 ± 1.08,58.14 ± 1.40,64.46 ± 3.54,57.94 ± 1.20
80,58.87 ± 0.94,57.98 ± 1.35,64.47 ± 3.49,57.83 ± 1.12
90,58.84 ± 1.05,57.84 ± 1.43,64.56 ± 3.49,57.79 ± 1.29
100,58.98 ± 1.19,58.00 ± 1.58,64.48 ± 3.50,57.94 ± 1.42
110,59.11 ± 0.96,58.09 ± 1.34,64.80 ± 3.65,58.06 ± 1.23
120,59.09 ± 1.06,58.09 ± 1.55,64.70 ± 3.64,58.01 ± 1.30
130,58.95 ± 0.79,57.91 ± 1.21,64.37 ± 3.71,57.88 ± 1.01
140,59.09 ± 0.79,58.08 ± 1.26,64.47 ± 3.81,58.02 ± 0.98
150,59.09 ± 0.95,58.07 ± 1.41,64.61 ± 3.71,58.04 ± 1.13
160,59.17 ± 1.04,58.16 ± 1.43,64.89 ± 3.92,58.08 ± 1.27
170,59.09 ± 0.94,58.18 ± 1.49,64.98 ± 4.01,57.98 ± 1.18
180,59.03 ± 1.06,58.18 ± 1.61,64.96 ± 4.04,57.92 ± 1.30
190,59.01 ± 1.12,58.20 ± 1.62,64.75 ± 4.19,57.91 ± 1.39
200,59.06 ± 1.23,58.23 ± 1.68,64.74 ± 4.05,57.97 ± 1.51
210,58.98 ± 1.22,58.18 ± 1.68,64.57 ± 4.22,57.82 ± 1.49
220,59.03 ± 1.41,58.26 ± 1.92,64.54 ± 4.28,57.86 ± 1.72
230,59.09 ± 1.51,58.36 ± 1.97,64.49 ± 4.30,57.92 ± 1.78
240,59.01 ± 1.60,58.28 ± 2.06,64.24 ± 4.29,57.83 ± 1.87
250,58.98 ± 1.50,58.30 ± 1.91,64.25 ± 4.38,57.80 ± 1.77
260,59.03 ± 1.63,58.37 ± 2.01,64.25 ± 4.41,57.85 ± 1.91
270,59.01 ± 1.63,58.35 ± 2.01,64.25 ± 4.41,57.81 ± 1.90
280,58.95 ± 1.60,58.28 ± 1.86,64.13 ± 4.74,57.74 ± 1.86
290,59.03 ± 1.57,58.35 ± 1.82,64.18 ± 4.94,57.81 ± 1.82
300,59.11 ± 1.64,58.39 ± 1.91,64.34 ± 4.85,57.90 ± 1.89
310,59.09 ± 1.57,58.34 ± 1.80,64.29 ± 4.93,57.88 ± 1.81
320,59.11 ± 1.46,58.35 ± 1.68,64.34 ± 4.95,57.90 ± 1.71
330,59.25 ± 1.46,58.57 ± 1.82,64.41 ± 4.84,58.05 ± 1.73
340,59.33 ± 1.57,58.69 ± 1.96,64.37 ± 4.71,58.14 ± 1.83
350,59.33 ± 1.63,58.69 ± 2.07,64.31 ± 4.70,58.14 ± 1.88
360,59.30 ± 1.64,58.66 ± 2.16,64.36 ± 4.60,58.11 ± 1.90
370,59.25 ± 1.67,58.60 ± 2.15,64.36 ± 4.60,58.05 ± 1.94
380,59.17 ± 1.67,58.52 ± 2.10,64.35 ± 4.72,57.96 ± 1.95
390,59.25 ± 1.67,58.58 ± 2.17,64.45 ± 4.55,58.04 ± 1.96
400,59.22 ± 1.75,58.57 ± 2.24,64.44 ± 4.44,58.01 ± 2.04
410,59.19 ± 1.78,58.57 ± 2.25,64.35 ± 4.37,58.00 ± 2.07
420,59.19 ± 1.85,58.57 ± 2.33,64.29 ± 4.35,58.00 ± 2.13
430,59.25 ± 1.87,58.60 ± 2.34,64.46 ± 4.41,58.05 ± 2.14
440,59.22 ± 1.87,58.60 ± 2.37,64.40 ± 4.37,58.02 ± 2.17
450,59.35 ± 1.85,58.68 ± 2.29,64.55 ± 4.48,58.15 ± 2.13
460,59.33 ± 1.91,58.65 ± 2.32,64.55 ± 4.48,58.13 ± 2.19
470,59.33 ± 1.98,58.65 ± 2.35,64.43 ± 4.45,58.19 ± 2.26
480,59.30 ± 1.98,58.63 ± 2.36,64.43 ± 4.45,58.16 ± 2.26
