minute,Acc,F1_class0,F1_class1,F1_class2,F1_class3
0,24.29 ± 1.53,0.00 ± 0.00,29.03 ± 13.27,0.00 ± 0.00,16.84 ± 15.19
10,44.17 ± 2.98,55.68 ± 6.05,39.36 ± 6.66,36.81 ± 9.37,36.16 ± 4.29
20,43.68 ± 2.28,54.63 ± 7.32,39.19 ± 6.79,36.83 ± 8.90,34.49 ± 5.15
30,43.68 ± 1.66,55.62 ± 8.03,38.22 ± 7.11,35.47 ± 6.53,34.47 ± 3.90
40,44.05 ± 1.66,55.59 ± 6.10,39.64 ± 6.95,35.56 ± 7.39,34.47 ± 4.41
50,44.17 ± 1.50,55.81 ± 6.33,39.16 ± 6.90,36.88 ± 6.55,33.73 ± 5.03
60,44.17 ± 1.55,55.35 ± 5.72,38.11 ± 6.70,38.45 ± 6.63,34.02 ± 6.23
70,44.17 ± 1.16,55.39 ± 6.49,38.23 ± 6.86,38.83 ± 6.83,33.74 ± 5.74
80,44.17 ± 1.40,55.90 ± 7.22,39.14 ± 5.55,38.85 ± 6.30,33.48 ± 5.47
90,44.54 ± 1.26,55.62 ± 7.87,39.87 ± 4.87,38.71 ± 6.53,33.94 ± 4.54
100,44.79 ± 1.03,55.84 ± 7.91,40.23 ± 4.55,38.75 ± 5.87,34.20 ± 4.72
110,44.29 ± 0.90,55.04 ± 6.92,39.91 ± 4.04,38.51 ± 5.62,34.15 ± 4.74
120,44.54 ± 1.00,55.04 ± 6.92,40.04 ± 5.20,38.28 ± 5.43,35.02 ± 5.50
130,44.54 ± 1.14,55.40 ± 6.69,39.92 ± 5.16,37.71 ± 6.24,35.05 ± 5.99
140,44.42 ± 0.92,54.80 ± 6.70,39.94 ± 5.19,37.86 ± 6.78,34.81 ± 6.31
150,44.17 ± 1.10,54.47 ± 6.81,40.16 ± 5.08,36.92 ± 6.72,34.81 ± 6.31
160,44.29 ± 0.90,54.52 ± 6.55,40.53 ± 3.68,36.92 ± 6.87,35.63 ± 4.94
170,44.42 ± 1.38,54.64 ± 6.55,40.32 ± 3.74,37.03 ± 6.79,36.02 ± 5.67
180,44.05 ± 1.06,54.25 ± 6.43,40.33 ± 3.64,36.96 ± 6.70,34.52 ± 6.15
190,43.93 ± 1.14,54.37 ± 5.73,40.21 ± 3.96,36.96 ± 6.70,34.26 ± 5.96
200,44.42 ± 1.26,54.50 ± 5.70,40.63 ± 4.16,37.29 ± 7.04,34.91 ± 6.43
210,44.54 ± 1.00,54.65 ± 5.85,40.50 ± 4.03,37.29 ± 7.04,35.61 ± 5.78
220,44.66 ± 1.57,54.65 ± 5.85,40.30 ± 4.03,37.62 ± 6.55,36.03 ± 6.40
230,44.54 ± 1.63,54.65 ± 5.85,39.98 ± 4.23,37.45 ± 6.44,36.03 ± 6.40
240,44.54 ± 1.58,55.24 ± 5.49,39.43 ± 5.16,37.38 ± 6.34,36.03 ± 6.40
250,44.54 ± 1.58,55.24 ± 5.49,39.31 ± 4.71,37.09 ± 6.31,36.23 ± 6.51
260,44.54 ± 1.58,55.24 ± 5.49,39.47 ± 4.88,36.82 ± 6.65,36.68 ± 6.43
270,44.91 ± 1.66,55.14 ± 5.54,40.28 ± 5.32,37.06 ± 6.45,36.75 ± 6.46
280,44.66 ± 1.71,54.75 ± 6.13,40.48 ± 5.22,36.80 ± 6.41,36.09 ± 6.45
290,44.66 ± 1.71,54.75 ± 6.13,40.36 ± 5.06,36.73 ± 6.51,36.59 ± 6.56
300,44.79 ± 1.69,54.75 ± 6.13,41.00 ± 3.80,36.76 ± 6.51,36.59 ± 6.56
310,44.79 ± 1.69,54.75 ± 6.13,40.86 ± 3.58,36.84 ± 6.41,36.59 ± 6.56
320,44.66 ± 1.57,54.63 ± 6.16,40.46 ± 4.08,36.96 ± 6.51,36.48 ± 6.63
330,44.42 ± 1.67,54.63 ± 6.16,40.09 ± 3.84,36.87 ± 6.43,35.97 ± 6.52
340,44.42 ± 1.84,54.78 ± 5.80,40.09 ± 3.84,37.04 ± 6.30,35.91 ± 6.58
350,44.42 ± 2.00,54.71 ± 5.91,39.76 ± 3.76,37.07 ± 6.33,36.21 ± 6.82
360,44.42 ± 2.00,54.71 ± 5.91,39.66 ± 3.60,37.07 ± 6.33,36.33 ± 6.83
370,44.29 ± 1.84,54.56 ± 5.91,39.76 ± 3.76,37.07 ± 6.33,35.98 ± 6.47
380,44.29 ± 1.84,54.56 ± 5.91,39.76 ± 3.76,37.07 ± 6.33,35.98 ± 6.47
390,44.29 ± 1.84,54.56 ± 5.91,39.66 ± 3.60,37.07 ± 6.33,36.10 ± 6.48
400,44.29 ± 1.84,54.56 ± 5.91,39.66 ± 3.60,37.07 ± 6.33,36.10 ± 6.48
410,44.17 ± 1.86,54.56 ± 5.91,39.45 ± 3.79,37.07 ± 6.33,36.04 ± 6.45
420,44.17 ± 1.86,54.56 ± 5.91,39.41 ± 3.83,37.07 ± 6.33,36.10 ± 6.48
430,44.29 ± 1.84,54.56 ± 5.91,39.92 ± 3.43,37.22 ± 6.32,36.10 ± 6.48
440,44.29 ± 1.84,54.56 ± 5.91,40.06 ± 3.37,37.22 ± 6.32,36.02 ± 6.44
450,44.42 ± 2.00,54.68 ± 5.91,40.06 ± 3.37,37.17 ± 6.39,36.29 ± 6.86
460,44.42 ± 2.00,54.68 ± 5.91,39.79 ± 2.96,37.09 ± 6.50,36.77 ± 6.97
470,44.42 ± 2.00,54.68 ± 5.91,39.75 ± 3.03,37.17 ± 6.61,36.77 ± 6.97
480,44.79 ± 2.23,54.80 ± 5.92,39.95 ± 2.99,37.42 ± 6.25,37.04 ± 7.30
