minute,Acc,Pre,Recall,F1
0,78.72 ± 2.14,73.95 ± 1.90,88.77 ± 4.12,77.61 ± 2.63
10,90.00 ± 1.68,88.78 ± 0.80,91.96 ± 2.60,89.66 ± 1.73
20,91.10 ± 1.60,91.09 ± 0.87,91.36 ± 2.35,90.79 ± 1.65
30,91.68 ± 1.36,91.82 ± 0.52,91.77 ± 2.34,91.39 ± 1.39
40,91.77 ± 1.33,92.00 ± 0.80,91.71 ± 1.99,91.48 ± 1.34
50,91.86 ± 1.50,92.17 ± 0.83,91.68 ± 2.26,91.59 ± 1.52
60,91.99 ± 1.23,91.74 ± 0.94,92.63 ± 1.70,91.72 ± 1.25
70,92.67 ± 1.10,93.22 ± 0.34,92.33 ± 1.92,92.43 ± 1.12
80,92.30 ± 0.95,92.76 ± 0.54,92.02 ± 1.68,92.05 ± 0.99
90,92.50 ± 0.97,93.06 ± 0.32,92.16 ± 1.49,92.26 ± 0.99
100,92.49 ± 0.92,93.28 ± 0.32,91.88 ± 1.37,92.24 ± 0.94
110,92.96 ± 0.98,93.68 ± 0.46,92.50 ± 1.44,92.72 ± 1.01
120,92.76 ± 0.92,93.60 ± 0.40,92.11 ± 1.43,92.52 ± 0.94
130,92.72 ± 1.00,93.45 ± 0.54,92.18 ± 1.59,92.49 ± 1.02
140,92.83 ± 0.90,93.79 ± 0.70,92.03 ± 1.33,92.60 ± 0.92
150,93.03 ± 1.01,93.95 ± 0.63,92.25 ± 1.64,92.81 ± 1.03
160,93.00 ± 0.99,94.24 ± 0.66,91.87 ± 1.47,92.78 ± 1.00
170,93.11 ± 1.04,94.22 ± 0.66,92.19 ± 1.50,92.89 ± 1.06
180,93.18 ± 1.17,94.14 ± 0.76,92.44 ± 1.65,92.97 ± 1.18
190,93.16 ± 1.18,94.25 ± 0.78,92.30 ± 1.72,92.96 ± 1.19
200,93.29 ± 1.05,94.25 ± 0.73,92.66 ± 1.44,93.08 ± 1.07
210,93.27 ± 0.87,94.44 ± 0.67,92.27 ± 1.33,93.07 ± 0.89
220,93.42 ± 1.16,94.41 ± 0.82,92.61 ± 1.65,93.21 ± 1.18
230,93.40 ± 0.93,94.56 ± 0.52,92.39 ± 1.48,93.19 ± 0.94
240,93.22 ± 1.06,94.34 ± 0.66,92.20 ± 1.64,93.00 ± 1.08
250,93.35 ± 1.07,94.47 ± 0.74,92.34 ± 1.58,93.13 ± 1.09
260,93.35 ± 1.15,94.57 ± 0.79,92.21 ± 1.80,93.13 ± 1.17
270,93.44 ± 1.07,94.75 ± 0.87,92.28 ± 1.54,93.23 ± 1.09
280,93.53 ± 1.07,94.72 ± 0.89,92.47 ± 1.55,93.32 ± 1.09
290,93.56 ± 1.01,94.73 ± 0.73,92.52 ± 1.56,93.36 ± 1.03
300,93.62 ± 1.05,94.86 ± 0.71,92.53 ± 1.45,93.42 ± 1.07
310,93.53 ± 0.88,94.76 ± 0.70,92.43 ± 1.18,93.32 ± 0.89
320,93.56 ± 1.00,94.84 ± 0.72,92.38 ± 1.39,93.36 ± 1.02
330,93.42 ± 0.91,94.71 ± 0.71,92.22 ± 1.23,93.21 ± 0.92
340,93.49 ± 0.96,94.88 ± 0.69,92.21 ± 1.20,93.28 ± 0.97
350,93.60 ± 0.89,94.94 ± 0.65,92.29 ± 1.25,93.39 ± 0.90
360,93.71 ± 0.93,95.00 ± 0.58,92.50 ± 1.43,93.51 ± 0.94
370,93.78 ± 0.96,95.02 ± 0.58,92.63 ± 1.56,93.58 ± 0.97
380,93.89 ± 1.00,95.07 ± 0.63,92.83 ± 1.58,93.70 ± 1.01
390,93.77 ± 0.93,95.16 ± 0.61,92.49 ± 1.36,93.57 ± 0.94
400,93.86 ± 0.98,95.17 ± 0.61,92.68 ± 1.46,93.66 ± 0.99
410,93.77 ± 0.88,95.23 ± 0.56,92.42 ± 1.34,93.56 ± 0.89
420,93.82 ± 0.84,95.39 ± 0.50,92.31 ± 1.49,93.61 ± 0.86
430,93.77 ± 0.75,95.26 ± 0.56,92.34 ± 1.12,93.56 ± 0.75
440,93.73 ± 0.83,95.24 ± 0.44,92.30 ± 1.20,93.52 ± 0.85
450,93.93 ± 0.74,95.24 ± 0.41,92.65 ± 1.12,93.73 ± 0.75
460,93.95 ± 0.78,95.17 ± 0.47,92.78 ± 1.16,93.75 ± 0.79
470,93.89 ± 0.82,95.25 ± 0.50,92.62 ± 1.21,93.70 ± 0.83
480,93.91 ± 0.81,95.25 ± 0.50,92.66 ± 1.20,93.72 ± 0.82
