minute,Acc,Pre,Recall,F1
0,77.19 ± 7.17,84.63 ± 12.98,66.67 ± 10.53,75.84 ± 7.13
10,77.50 ± 7.30,85.42 ± 12.53,67.12 ± 9.39,76.24 ± 7.06
20,77.81 ± 6.43,85.28 ± 12.12,68.45 ± 8.29,76.65 ± 6.16
30,78.12 ± 5.59,85.35 ± 12.19,68.86 ± 7.06,76.97 ± 5.42
40,78.75 ± 5.98,85.57 ± 12.12,70.13 ± 7.45,77.61 ± 5.75
50,78.75 ± 5.64,86.11 ± 11.30,69.58 ± 6.60,77.59 ± 5.24
60,79.38 ± 5.54,86.33 ± 11.28,70.62 ± 6.49,78.22 ± 5.17
70,79.06 ± 6.06,85.28 ± 10.83,71.21 ± 7.49,77.90 ± 5.62
80,79.06 ± 6.06,85.28 ± 10.83,71.21 ± 7.49,77.90 ± 5.62
90,78.44 ± 6.20,84.29 ± 11.52,70.38 ± 7.82,77.20 ± 5.93
100,78.44 ± 6.20,84.90 ± 11.47,69.96 ± 7.27,77.19 ± 5.87
110,78.44 ± 6.20,84.90 ± 11.47,69.96 ± 7.27,77.19 ± 5.87
120,79.06 ± 6.06,85.28 ± 10.83,71.21 ± 7.49,77.90 ± 5.62
130,78.75 ± 6.37,84.90 ± 11.47,70.38 ± 7.82,77.50 ± 6.05
140,78.75 ± 6.37,84.90 ± 11.47,70.38 ± 7.82,77.50 ± 6.05
150,78.75 ± 6.45,85.01 ± 11.47,70.67 ± 7.07,77.53 ± 6.09
160,78.44 ± 6.20,84.43 ± 11.49,70.67 ± 7.07,77.22 ± 5.88
170,79.06 ± 6.14,85.14 ± 11.25,71.30 ± 6.73,77.83 ± 5.75
180,79.38 ± 5.71,85.38 ± 11.20,71.92 ± 5.78,78.16 ± 5.34
190,79.38 ± 5.71,85.38 ± 11.20,71.92 ± 5.78,78.16 ± 5.34
200,79.38 ± 5.71,85.38 ± 11.20,71.92 ± 5.78,78.16 ± 5.34
210,79.06 ± 5.47,85.27 ± 11.20,71.21 ± 6.17,77.82 ± 5.14
220,79.06 ± 5.47,85.27 ± 11.20,71.21 ± 6.17,77.82 ± 5.14
230,79.06 ± 5.47,85.27 ± 11.20,71.21 ± 6.17,77.82 ± 5.14
240,79.06 ± 5.47,85.27 ± 11.20,71.21 ± 6.17,77.82 ± 5.14
250,79.06 ± 5.47,85.27 ± 11.20,71.21 ± 6.17,77.82 ± 5.14
260,79.06 ± 5.47,85.27 ± 11.20,71.21 ± 6.17,77.82 ± 5.14
270,79.38 ± 5.62,85.35 ± 11.25,71.76 ± 6.94,78.13 ± 5.30
280,79.69 ± 6.01,85.35 ± 11.25,72.18 ± 7.34,78.44 ± 5.73
290,79.69 ± 6.01,85.35 ± 11.25,72.18 ± 7.34,78.44 ± 5.73
300,80.00 ± 5.62,85.56 ± 11.22,72.81 ± 6.70,78.76 ± 5.39
310,80.62 ± 5.98,85.67 ± 11.22,73.94 ± 6.76,79.40 ± 5.70
320,80.62 ± 5.98,85.67 ± 11.22,73.94 ± 6.76,79.40 ± 5.70
330,80.62 ± 5.98,85.67 ± 11.22,73.94 ± 6.76,79.40 ± 5.70
340,80.94 ± 6.20,85.75 ± 11.26,74.49 ± 7.63,79.70 ± 5.93
350,80.94 ± 6.20,85.75 ± 11.26,74.49 ± 7.63,79.70 ± 5.93
360,80.94 ± 6.20,85.75 ± 11.26,74.49 ± 7.63,79.70 ± 5.93
370,80.94 ± 6.20,85.75 ± 11.26,74.49 ± 7.63,79.70 ± 5.93
380,80.62 ± 5.90,85.75 ± 11.26,73.90 ± 7.29,79.38 ± 5.59
390,80.94 ± 6.20,86.20 ± 11.56,73.90 ± 7.29,79.72 ± 5.93
400,80.94 ± 6.20,86.20 ± 11.56,73.90 ± 7.29,79.72 ± 5.93
410,80.94 ± 6.20,86.20 ± 11.56,73.90 ± 7.29,79.72 ± 5.93
420,80.94 ± 6.20,86.20 ± 11.56,73.90 ± 7.29,79.72 ± 5.93
430,81.25 ± 6.48,86.20 ± 11.56,74.49 ± 7.63,80.04 ± 6.24
440,81.56 ± 6.12,86.58 ± 10.91,75.33 ± 7.17,80.44 ± 5.75
450,81.56 ± 6.12,86.58 ± 10.91,75.33 ± 7.17,80.44 ± 5.75
460,81.88 ± 6.45,86.58 ± 10.91,75.91 ± 7.63,80.76 ± 6.10
470,81.56 ± 6.20,86.58 ± 10.91,75.50 ± 7.06,80.45 ± 5.85
480,81.56 ± 6.36,86.00 ± 11.02,75.91 ± 7.63,80.45 ± 6.07
