minute,acc,precision,recall,f1
10,75.62 ± 3.53,76.75 ± 4.10,73.70 ± 5.38,75.46 ± 3.56
20,75.35 ± 3.25,76.32 ± 4.28,73.75 ± 5.84,75.18 ± 3.26
30,75.81 ± 3.31,76.40 ± 4.31,74.89 ± 5.47,75.64 ± 3.34
40,75.48 ± 3.24,75.88 ± 4.31,75.03 ± 5.37,75.33 ± 3.27
50,75.86 ± 2.90,76.11 ± 4.39,75.68 ± 4.62,75.70 ± 2.92
60,75.35 ± 2.70,75.45 ± 4.16,75.40 ± 4.53,75.19 ± 2.74
70,75.27 ± 2.59,75.30 ± 4.13,75.59 ± 4.56,75.11 ± 2.63
80,75.48 ± 2.63,75.61 ± 4.23,75.72 ± 4.70,75.34 ± 2.65
90,75.54 ± 2.91,75.69 ± 4.59,75.77 ± 4.71,75.39 ± 2.94
100,75.78 ± 2.80,75.86 ± 4.48,76.15 ± 4.73,75.63 ± 2.82
110,75.97 ± 2.76,76.13 ± 4.76,76.39 ± 4.52,75.83 ± 2.77
120,75.73 ± 2.80,75.89 ± 4.74,76.10 ± 4.39,75.58 ± 2.81
130,75.83 ± 2.95,75.92 ± 4.79,76.30 ± 4.56,75.69 ± 2.95
140,75.70 ± 2.78,75.88 ± 4.71,76.05 ± 4.40,75.55 ± 2.77
150,75.70 ± 2.70,75.85 ± 4.54,76.12 ± 4.64,75.55 ± 2.70
160,75.62 ± 2.55,75.81 ± 4.37,75.96 ± 4.59,75.47 ± 2.55
170,75.46 ± 2.54,75.65 ± 4.44,75.79 ± 4.71,75.31 ± 2.55
180,75.54 ± 2.61,75.69 ± 4.53,75.97 ± 4.47,75.40 ± 2.63
190,75.46 ± 2.57,75.60 ± 4.38,75.86 ± 4.62,75.32 ± 2.58
200,75.54 ± 2.38,75.68 ± 4.41,75.96 ± 4.57,75.39 ± 2.40
210,75.67 ± 2.26,75.76 ± 4.35,76.16 ± 4.43,75.53 ± 2.28
220,75.67 ± 2.35,75.69 ± 4.30,76.32 ± 4.59,75.52 ± 2.37
230,75.73 ± 2.26,75.74 ± 4.21,76.39 ± 4.57,75.58 ± 2.28
240,75.70 ± 2.19,75.72 ± 4.16,76.34 ± 4.61,75.55 ± 2.21
250,75.67 ± 2.23,75.69 ± 4.21,76.34 ± 4.61,75.52 ± 2.25
260,75.59 ± 2.21,75.61 ± 4.13,76.23 ± 4.52,75.44 ± 2.23
270,75.67 ± 2.14,75.65 ± 4.11,76.38 ± 4.48,75.52 ± 2.17
280,75.73 ± 2.21,75.71 ± 4.13,76.36 ± 4.59,75.58 ± 2.24
290,75.73 ± 2.25,75.69 ± 4.18,76.41 ± 4.58,75.57 ± 2.29
300,75.75 ± 2.30,75.69 ± 4.19,76.53 ± 4.67,75.60 ± 2.33
310,75.75 ± 2.25,75.69 ± 4.18,76.53 ± 4.67,75.60 ± 2.29
320,75.75 ± 2.22,75.68 ± 4.13,76.51 ± 4.88,75.60 ± 2.25
330,75.78 ± 2.24,75.73 ± 4.22,76.51 ± 4.88,75.62 ± 2.27
340,75.78 ± 2.24,75.73 ± 4.22,76.51 ± 4.88,75.62 ± 2.27
350,75.78 ± 2.24,75.69 ± 4.14,76.56 ± 4.79,75.62 ± 2.27
360,75.81 ± 2.32,75.69 ± 4.20,76.66 ± 4.91,75.65 ± 2.35
370,75.86 ± 2.27,75.77 ± 4.13,76.66 ± 4.91,75.70 ± 2.29
380,75.83 ± 2.24,75.76 ± 4.10,76.61 ± 5.00,75.68 ± 2.27
390,75.81 ± 2.25,75.73 ± 4.11,76.61 ± 5.00,75.65 ± 2.28
400,75.78 ± 2.23,75.66 ± 3.98,76.61 ± 5.00,75.62 ± 2.26
410,75.81 ± 2.26,75.67 ± 4.02,76.66 ± 4.91,75.65 ± 2.29
420,75.83 ± 2.15,75.65 ± 3.85,76.78 ± 4.89,75.67 ± 2.17
430,75.81 ± 2.18,75.63 ± 3.86,76.73 ± 4.87,75.65 ± 2.21
440,75.83 ± 2.17,75.65 ± 3.86,76.79 ± 4.86,75.68 ± 2.20
450,75.81 ± 2.13,75.65 ± 3.79,76.68 ± 5.05,75.65 ± 2.16
460,75.83 ± 2.08,75.69 ± 3.73,76.68 ± 5.05,75.68 ± 2.11
470,75.83 ± 2.08,75.69 ± 3.73,76.68 ± 5.05,75.68 ± 2.11
480,75.83 ± 2.13,75.69 ± 3.74,76.68 ± 5.08,75.68 ± 2.15
