minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
10,66.99 ± 2.01,65.48 ± 5.18,60.72 ± 1.75,76.69 ± 3.99,64.19 ± 5.23
20,69.33 ± 3.10,70.66 ± 6.25,61.57 ± 2.37,79.40 ± 5.44,64.65 ± 6.34
30,69.45 ± 4.03,70.94 ± 6.14,61.68 ± 2.14,78.09 ± 7.62,66.22 ± 5.99
40,69.82 ± 4.33,71.68 ± 6.05,62.84 ± 4.13,78.21 ± 7.06,65.93 ± 4.57
50,70.18 ± 3.97,73.09 ± 5.10,62.98 ± 2.89,78.17 ± 7.48,66.17 ± 4.36
60,69.82 ± 4.01,71.59 ± 4.79,63.11 ± 4.48,77.97 ± 7.36,65.84 ± 4.27
70,69.45 ± 4.47,70.49 ± 6.61,62.62 ± 4.90,77.86 ± 7.74,65.69 ± 4.12
80,69.33 ± 4.75,69.90 ± 5.81,63.31 ± 5.16,77.59 ± 7.44,65.52 ± 5.20
90,70.18 ± 5.22,70.47 ± 6.08,65.42 ± 5.67,78.10 ± 7.41,66.00 ± 5.63
100,70.31 ± 5.39,71.25 ± 5.96,64.55 ± 5.80,77.91 ± 6.84,66.83 ± 6.41
110,70.92 ± 5.00,71.99 ± 5.47,65.77 ± 5.00,78.41 ± 5.98,66.98 ± 6.48
120,70.92 ± 5.01,71.06 ± 5.09,66.22 ± 4.66,78.71 ± 6.53,67.14 ± 6.45
130,71.04 ± 5.48,71.60 ± 5.86,66.58 ± 5.06,78.53 ± 6.82,66.96 ± 6.22
140,70.55 ± 5.69,71.40 ± 6.94,65.73 ± 6.06,78.50 ± 6.27,65.99 ± 6.04
150,70.67 ± 5.84,71.58 ± 7.06,65.94 ± 6.04,78.50 ± 6.27,66.20 ± 6.02
160,70.55 ± 6.00,71.76 ± 6.82,65.59 ± 6.04,78.02 ± 6.65,66.32 ± 6.26
170,70.55 ± 6.00,71.36 ± 7.32,65.75 ± 5.98,78.02 ± 6.65,66.45 ± 6.04
180,70.31 ± 6.24,71.45 ± 7.26,65.22 ± 6.01,77.33 ± 7.33,66.58 ± 5.70
190,70.06 ± 6.19,71.07 ± 6.42,64.10 ± 6.53,78.01 ± 7.57,66.26 ± 6.36
200,69.94 ± 6.39,71.07 ± 6.42,63.93 ± 6.62,77.84 ± 7.87,66.13 ± 6.59
210,70.43 ± 5.87,71.36 ± 6.74,64.94 ± 6.27,78.69 ± 7.05,65.93 ± 5.94
220,70.31 ± 5.91,71.36 ± 6.74,64.94 ± 6.27,78.55 ± 6.80,65.63 ± 6.10
230,70.31 ± 5.80,71.36 ± 6.74,64.55 ± 6.44,79.06 ± 6.93,65.50 ± 6.26
240,70.55 ± 5.66,71.76 ± 6.12,65.02 ± 6.31,78.75 ± 6.99,65.99 ± 6.11
250,70.55 ± 5.40,71.35 ± 6.03,64.49 ± 5.70,79.12 ± 6.87,66.44 ± 5.90
260,70.43 ± 5.18,70.87 ± 5.82,64.30 ± 5.32,79.12 ± 6.87,66.59 ± 5.81
270,70.31 ± 5.11,70.87 ± 5.82,63.92 ± 5.57,79.12 ± 6.87,66.43 ± 5.79
280,70.43 ± 5.44,71.31 ± 6.23,64.15 ± 5.30,79.13 ± 7.18,66.28 ± 6.31
290,70.55 ± 5.54,71.51 ± 5.99,64.32 ± 5.23,79.06 ± 7.27,66.60 ± 6.43
300,70.43 ± 5.73,71.09 ± 6.78,64.17 ± 5.24,79.06 ± 7.27,66.60 ± 6.43
310,70.55 ± 5.67,71.43 ± 6.71,64.34 ± 5.22,79.06 ± 7.27,66.60 ± 6.43
320,70.43 ± 5.58,71.26 ± 6.50,63.96 ± 5.40,79.26 ± 7.21,66.44 ± 6.43
330,70.31 ± 5.09,70.67 ± 5.94,63.92 ± 5.03,78.99 ± 6.62,66.74 ± 6.31
340,70.43 ± 4.90,71.08 ± 5.07,63.92 ± 5.03,78.96 ± 6.45,66.89 ± 6.29
350,70.43 ± 5.18,71.08 ± 5.07,63.88 ± 5.76,78.96 ± 6.45,66.92 ± 6.69
360,70.18 ± 5.34,70.39 ± 5.31,63.88 ± 5.76,78.81 ± 6.59,66.76 ± 6.80
370,70.18 ± 5.34,70.39 ± 5.31,63.88 ± 5.76,78.81 ± 6.59,66.76 ± 6.80
380,70.31 ± 5.31,70.67 ± 5.48,64.07 ± 6.15,79.12 ± 6.52,66.46 ± 6.30
390,70.43 ± 5.39,71.13 ± 6.08,64.30 ± 5.99,79.12 ± 6.52,66.28 ± 5.91
400,70.67 ± 5.32,71.50 ± 5.62,64.82 ± 5.92,78.97 ± 6.68,66.63 ± 5.73
410,70.80 ± 5.43,71.78 ± 6.05,65.00 ± 5.94,78.97 ± 6.68,66.63 ± 5.73
420,70.67 ± 5.32,71.50 ± 5.62,64.67 ± 5.95,78.97 ± 6.68,66.77 ± 5.54
430,70.80 ± 5.07,72.09 ± 5.24,64.84 ± 5.65,78.97 ± 6.68,66.60 ± 4.81
440,70.80 ± 5.07,72.28 ± 5.09,64.99 ± 5.62,78.97 ± 6.68,66.31 ± 5.16
450,70.67 ± 4.88,72.28 ± 5.09,64.49 ± 4.96,78.97 ± 6.68,66.31 ± 5.02
460,70.67 ± 4.88,72.48 ± 4.97,64.34 ± 4.97,78.97 ± 6.68,66.30 ± 5.01
470,70.67 ± 4.88,72.48 ± 4.97,64.34 ± 4.97,78.97 ± 6.68,66.30 ± 5.01
480,70.67 ± 4.88,72.48 ± 4.97,64.34 ± 4.97,78.97 ± 6.68,66.30 ± 5.01
