minute,acc,precision,recall,f1
10,87.93 ± 0.86,84.63 ± 1.40,92.87 ± 1.19,87.77 ± 0.93
20,90.44 ± 0.57,88.51 ± 1.36,93.03 ± 1.27,90.34 ± 0.59
30,91.19 ± 0.58,89.59 ± 1.38,93.29 ± 1.05,91.10 ± 0.60
40,91.46 ± 0.47,89.90 ± 1.26,93.49 ± 1.21,91.38 ± 0.49
50,91.68 ± 0.43,90.27 ± 1.23,93.49 ± 1.37,91.60 ± 0.45
60,91.92 ± 0.49,90.54 ± 1.29,93.66 ± 1.43,91.84 ± 0.50
70,92.07 ± 0.46,90.65 ± 1.27,93.83 ± 1.49,91.99 ± 0.48
80,92.18 ± 0.46,90.72 ± 1.21,93.96 ± 1.38,92.10 ± 0.48
90,92.29 ± 0.42,90.91 ± 1.27,93.95 ± 1.29,92.21 ± 0.44
100,92.49 ± 0.45,91.10 ± 1.37,94.18 ± 1.28,92.41 ± 0.47
110,92.61 ± 0.53,91.23 ± 1.45,94.34 ± 1.23,92.54 ± 0.54
120,92.82 ± 0.54,91.43 ± 1.42,94.53 ± 1.11,92.74 ± 0.55
130,92.96 ± 0.54,91.63 ± 1.44,94.60 ± 1.17,92.89 ± 0.55
140,93.14 ± 0.52,91.89 ± 1.45,94.67 ± 1.17,93.08 ± 0.53
150,93.29 ± 0.55,92.16 ± 1.49,94.67 ± 1.10,93.22 ± 0.55
160,93.40 ± 0.53,92.37 ± 1.55,94.67 ± 1.05,93.34 ± 0.54
170,93.38 ± 0.57,92.34 ± 1.60,94.67 ± 1.05,93.32 ± 0.57
180,93.42 ± 0.55,92.40 ± 1.54,94.68 ± 1.10,93.35 ± 0.55
190,93.42 ± 0.63,92.41 ± 1.61,94.68 ± 0.99,93.35 ± 0.63
200,93.46 ± 0.62,92.41 ± 1.60,94.75 ± 1.13,93.39 ± 0.62
210,93.49 ± 0.61,92.47 ± 1.54,94.75 ± 1.13,93.43 ± 0.61
220,93.53 ± 0.65,92.50 ± 1.58,94.79 ± 1.10,93.47 ± 0.65
230,93.58 ± 0.67,92.57 ± 1.57,94.82 ± 1.14,93.52 ± 0.67
240,93.62 ± 0.69,92.64 ± 1.64,94.82 ± 1.14,93.56 ± 0.70
250,93.66 ± 0.63,92.70 ± 1.62,94.83 ± 1.23,93.60 ± 0.63
260,93.67 ± 0.61,92.70 ± 1.61,94.85 ± 1.24,93.61 ± 0.61
270,93.78 ± 0.71,92.85 ± 1.73,94.93 ± 1.13,93.73 ± 0.71
280,93.84 ± 0.66,92.92 ± 1.61,94.97 ± 1.09,93.78 ± 0.67
290,93.89 ± 0.65,93.02 ± 1.58,94.97 ± 1.09,93.84 ± 0.66
300,93.88 ± 0.59,93.01 ± 1.57,94.93 ± 1.14,93.82 ± 0.59
310,93.86 ± 0.61,93.05 ± 1.61,94.86 ± 1.05,93.80 ± 0.61
320,93.88 ± 0.59,93.04 ± 1.61,94.89 ± 1.07,93.82 ± 0.59
330,93.91 ± 0.56,93.08 ± 1.60,94.92 ± 1.08,93.86 ± 0.56
340,93.95 ± 0.50,93.15 ± 1.48,94.92 ± 1.08,93.89 ± 0.50
350,93.99 ± 0.49,93.21 ± 1.46,94.92 ± 1.08,93.93 ± 0.49
360,94.02 ± 0.49,93.31 ± 1.52,94.89 ± 1.14,93.97 ± 0.49
370,93.95 ± 0.45,93.26 ± 1.47,94.77 ± 1.15,93.89 ± 0.45
380,93.97 ± 0.47,93.29 ± 1.42,94.78 ± 1.03,93.91 ± 0.47
390,93.97 ± 0.47,93.28 ± 1.42,94.78 ± 1.03,93.91 ± 0.47
400,94.02 ± 0.48,93.35 ± 1.37,94.82 ± 0.97,93.97 ± 0.48
410,94.04 ± 0.46,93.38 ± 1.36,94.81 ± 1.05,93.99 ± 0.46
420,94.04 ± 0.46,93.38 ± 1.36,94.81 ± 1.05,93.99 ± 0.46
430,94.13 ± 0.40,93.49 ± 1.28,94.89 ± 1.11,94.08 ± 0.40
440,94.15 ± 0.37,93.52 ± 1.22,94.89 ± 1.11,94.10 ± 0.37
450,94.26 ± 0.38,93.66 ± 1.20,94.97 ± 1.16,94.21 ± 0.38
460,94.28 ± 0.40,93.69 ± 1.16,94.97 ± 1.08,94.23 ± 0.40
470,94.30 ± 0.42,93.69 ± 1.16,95.01 ± 1.03,94.24 ± 0.42
480,94.35 ± 0.46,93.81 ± 1.35,95.01 ± 1.03,94.30 ± 0.46
