minute,acc,precision,recall,f1
10,80.94 ± 5.68,91.00 ± 7.65,72.72 ± 9.96,80.60 ± 5.43
20,83.44 ± 6.01,94.07 ± 4.96,75.10 ± 9.23,83.13 ± 5.81
30,83.12 ± 6.19,93.49 ± 5.67,75.10 ± 9.23,82.81 ± 5.98
40,83.44 ± 6.01,94.07 ± 4.96,75.10 ± 9.23,83.13 ± 5.81
50,83.75 ± 5.91,94.69 ± 4.50,75.10 ± 9.23,83.44 ± 5.72
60,83.44 ± 5.91,93.43 ± 6.11,75.82 ± 9.36,83.16 ± 5.73
70,83.12 ± 5.57,92.80 ± 7.29,75.82 ± 9.36,82.85 ± 5.40
80,83.44 ± 5.48,92.87 ± 7.26,76.37 ± 9.38,83.16 ± 5.32
90,83.12 ± 5.11,92.83 ± 7.24,75.66 ± 9.31,82.81 ± 4.93
100,83.12 ± 5.11,92.83 ± 7.24,75.66 ± 9.31,82.81 ± 4.93
110,83.44 ± 4.50,92.83 ± 7.24,76.13 ± 8.45,83.12 ± 4.33
120,83.12 ± 4.61,92.26 ± 7.59,76.13 ± 8.45,82.80 ± 4.42
130,83.12 ± 4.61,92.26 ± 7.59,76.13 ± 8.45,82.80 ± 4.42
140,83.12 ± 4.61,92.26 ± 7.59,76.13 ± 8.45,82.80 ± 4.42
150,83.44 ± 4.50,92.83 ± 7.24,76.13 ± 8.45,83.12 ± 4.33
160,83.12 ± 4.61,92.26 ± 7.59,76.13 ± 8.45,82.80 ± 4.42
170,83.44 ± 4.64,92.28 ± 7.60,76.62 ± 8.48,83.10 ± 4.44
180,83.44 ± 4.64,92.28 ± 7.60,76.62 ± 8.48,83.10 ± 4.44
190,83.44 ± 4.64,92.28 ± 7.60,76.62 ± 8.48,83.10 ± 4.44
200,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
210,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
220,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
230,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
240,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
250,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
260,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
270,84.38 ± 4.82,92.95 ± 7.25,77.89 ± 8.59,84.07 ± 4.69
280,84.06 ± 4.87,92.40 ± 7.56,77.89 ± 8.59,83.75 ± 4.72
290,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
300,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
310,83.75 ± 4.50,92.36 ± 7.54,77.18 ± 8.66,83.41 ± 4.33
320,84.06 ± 4.87,92.98 ± 6.47,77.18 ± 8.66,83.71 ± 4.69
330,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
340,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
350,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
360,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
370,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
380,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
390,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
400,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
410,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
420,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
430,84.38 ± 5.30,93.10 ± 6.29,77.98 ± 10.00,84.05 ± 5.17
440,84.06 ± 4.87,92.49 ± 7.31,77.98 ± 10.00,83.74 ± 4.73
450,84.06 ± 4.87,92.49 ± 7.31,77.98 ± 10.00,83.74 ± 4.73
460,84.06 ± 4.87,92.49 ± 7.31,77.98 ± 10.00,83.74 ± 4.73
470,84.06 ± 4.87,92.49 ± 7.31,77.98 ± 10.00,83.74 ± 4.73
480,84.06 ± 4.87,92.49 ± 7.31,77.98 ± 10.00,83.74 ± 4.73
720,85.94 ± 6.44,92.91 ± 6.99,81.88 ± 12.74,85.68 ± 6.37
1440,86.56 ± 6.59,92.56 ± 7.75,83.73 ± 14.21,86.31 ± 6.52
1920,87.19 ± 5.23,92.11 ± 8.08,85.17 ± 12.39,86.89 ± 5.19
2160,88.12 ± 4.89,93.12 ± 6.76,85.64 ± 11.51,87.84 ± 4.89
2880,88.44 ± 5.13,93.15 ± 6.78,86.36 ± 11.35,88.17 ± 5.15
4320,88.75 ± 5.23,93.21 ± 6.74,86.91 ± 11.74,88.48 ± 5.24
