minute,acc,precision,recall,f1
10,86.69 ± 2.33,58.95 ± 0.42,46.45 ± 3.52,60.26 ± 1.67
20,87.32 ± 2.57,58.95 ± 0.41,47.12 ± 3.78,60.85 ± 1.85
30,87.39 ± 2.53,58.86 ± 0.52,47.19 ± 3.69,60.79 ± 1.79
40,87.77 ± 2.60,58.78 ± 0.64,47.73 ± 3.98,61.08 ± 1.89
50,88.28 ± 2.39,58.69 ± 0.74,48.16 ± 3.90,61.30 ± 1.83
60,88.41 ± 2.19,58.78 ± 0.64,48.16 ± 3.90,61.40 ± 1.84
70,88.66 ± 1.72,58.70 ± 0.79,48.58 ± 3.46,61.62 ± 1.36
80,88.79 ± 1.52,58.70 ± 0.79,48.70 ± 3.30,61.66 ± 1.30
90,88.79 ± 1.72,58.61 ± 0.86,48.82 ± 3.55,61.74 ± 1.43
100,88.92 ± 1.85,58.62 ± 0.85,48.99 ± 3.66,61.88 ± 1.54
110,88.92 ± 1.85,58.62 ± 0.85,48.99 ± 3.66,61.88 ± 1.54
120,89.24 ± 2.04,58.62 ± 0.85,49.32 ± 3.86,62.02 ± 1.60
130,89.43 ± 1.81,58.62 ± 0.85,49.49 ± 3.70,62.16 ± 1.47
140,89.49 ± 1.73,58.62 ± 0.85,49.55 ± 3.63,62.18 ± 1.44
150,89.68 ± 1.88,58.79 ± 0.62,49.64 ± 3.58,62.44 ± 1.62
160,89.68 ± 1.69,58.79 ± 0.62,49.72 ± 3.52,62.49 ± 1.57
170,89.75 ± 1.82,58.79 ± 0.62,49.80 ± 3.59,62.55 ± 1.60
180,89.81 ± 1.84,58.79 ± 0.62,49.88 ± 3.55,62.62 ± 1.57
190,89.94 ± 1.68,58.79 ± 0.62,50.03 ± 3.40,62.70 ± 1.51
200,90.00 ± 1.78,58.80 ± 0.61,50.11 ± 3.56,62.78 ± 1.65
210,90.00 ± 1.78,58.80 ± 0.61,50.11 ± 3.56,62.78 ± 1.65
220,90.00 ± 1.78,58.80 ± 0.61,50.11 ± 3.56,62.78 ± 1.65
230,90.13 ± 1.82,58.80 ± 0.61,50.19 ± 3.46,62.86 ± 1.59
240,90.25 ± 1.77,58.80 ± 0.61,50.36 ± 3.44,63.00 ± 1.60
250,90.32 ± 1.81,58.80 ± 0.61,50.40 ± 3.50,62.97 ± 1.63
260,90.38 ± 1.92,58.80 ± 0.61,50.40 ± 3.50,62.99 ± 1.66
270,90.45 ± 1.92,58.72 ± 0.71,50.57 ± 3.53,63.03 ± 1.62
280,90.45 ± 1.74,58.72 ± 0.71,50.65 ± 3.46,63.08 ± 1.56
290,90.32 ± 1.78,58.71 ± 0.72,50.49 ± 3.46,62.94 ± 1.56
300,90.38 ± 1.81,58.71 ± 0.72,50.57 ± 3.43,63.01 ± 1.54
310,90.38 ± 1.81,58.71 ± 0.72,50.57 ± 3.43,63.01 ± 1.54
320,90.45 ± 1.91,58.71 ± 0.72,50.57 ± 3.43,63.03 ± 1.58
330,90.70 ± 1.98,58.72 ± 0.71,50.90 ± 3.56,63.32 ± 1.76
340,90.76 ± 1.91,58.72 ± 0.71,50.98 ± 3.50,63.39 ± 1.74
350,90.76 ± 1.91,58.72 ± 0.71,50.98 ± 3.50,63.39 ± 1.74
360,90.76 ± 1.91,58.72 ± 0.71,50.98 ± 3.50,63.39 ± 1.74
370,90.76 ± 1.91,58.72 ± 0.71,50.98 ± 3.50,63.39 ± 1.74
380,90.76 ± 1.91,58.72 ± 0.71,50.98 ± 3.50,63.39 ± 1.74
390,90.83 ± 1.84,58.72 ± 0.71,51.06 ± 3.40,63.45 ± 1.65
400,90.83 ± 1.84,58.72 ± 0.71,51.06 ± 3.40,63.45 ± 1.65
410,90.89 ± 1.85,58.72 ± 0.71,51.14 ± 3.36,63.52 ± 1.63
420,90.96 ± 1.87,58.72 ± 0.71,51.23 ± 3.41,63.59 ± 1.63
430,91.15 ± 1.93,58.81 ± 0.60,51.39 ± 3.43,63.83 ± 1.76
440,91.15 ± 1.75,58.81 ± 0.60,51.47 ± 3.38,63.89 ± 1.72
450,91.15 ± 1.86,58.81 ± 0.60,51.39 ± 3.35,63.83 ± 1.76
460,91.15 ± 1.86,58.81 ± 0.60,51.39 ± 3.35,63.83 ± 1.76
470,91.15 ± 1.86,58.81 ± 0.60,51.39 ± 3.35,63.83 ± 1.76
480,91.15 ± 1.86,58.81 ± 0.60,51.39 ± 3.35,63.83 ± 1.76
