minute,acc,precision,recall,f1
0,79.97 ± 1.37,84.91 ± 0.79,72.53 ± 3.90,79.68 ± 1.46
10,80.24 ± 1.21,82.96 ± 0.94,75.96 ± 2.45,80.07 ± 1.22
20,80.78 ± 1.05,83.21 ± 0.91,77.02 ± 2.13,80.63 ± 1.07
30,80.73 ± 0.95,83.04 ± 0.74,77.21 ± 2.42,80.58 ± 0.99
40,80.38 ± 0.82,82.49 ± 0.70,77.09 ± 2.01,80.23 ± 0.86
50,80.40 ± 0.73,82.43 ± 0.53,77.23 ± 1.97,80.25 ± 0.76
60,80.51 ± 0.58,82.46 ± 0.39,77.52 ± 1.77,80.37 ± 0.59
70,80.56 ± 0.68,82.37 ± 0.41,77.80 ± 1.85,80.43 ± 0.66
80,80.67 ± 0.67,82.41 ± 0.42,77.99 ± 1.79,80.53 ± 0.66
90,80.78 ± 0.58,82.42 ± 0.57,78.26 ± 1.67,80.64 ± 0.57
100,80.89 ± 0.58,82.51 ± 0.60,78.43 ± 1.52,80.74 ± 0.56
110,80.89 ± 0.67,82.56 ± 0.69,78.40 ± 1.67,80.74 ± 0.64
120,80.86 ± 0.65,82.56 ± 0.46,78.35 ± 1.73,80.72 ± 0.64
130,80.86 ± 0.67,82.55 ± 0.62,78.35 ± 1.73,80.72 ± 0.64
140,80.81 ± 0.67,82.43 ± 0.64,78.40 ± 1.67,80.67 ± 0.64
150,80.83 ± 0.66,82.48 ± 0.67,78.40 ± 1.67,80.70 ± 0.63
160,80.89 ± 0.69,82.49 ± 0.67,78.51 ± 1.74,80.75 ± 0.67
170,80.86 ± 0.59,82.48 ± 0.61,78.46 ± 1.66,80.73 ± 0.57
180,80.84 ± 0.60,82.43 ± 0.56,78.46 ± 1.66,80.70 ± 0.57
190,80.91 ± 0.63,82.50 ± 0.48,78.57 ± 1.70,80.78 ± 0.62
200,80.91 ± 0.63,82.50 ± 0.48,78.57 ± 1.70,80.78 ± 0.62
210,80.86 ± 0.59,82.43 ± 0.49,78.52 ± 1.67,80.73 ± 0.57
220,80.86 ± 0.59,82.43 ± 0.49,78.52 ± 1.67,80.73 ± 0.57
230,80.81 ± 0.55,82.34 ± 0.59,78.52 ± 1.66,80.67 ± 0.53
240,80.75 ± 0.58,82.25 ± 0.62,78.52 ± 1.66,80.62 ± 0.55
250,80.73 ± 0.60,82.24 ± 0.62,78.46 ± 1.71,80.59 ± 0.58
260,80.75 ± 0.61,82.25 ± 0.63,78.51 ± 1.68,80.62 ± 0.58
270,80.73 ± 0.62,82.24 ± 0.62,78.47 ± 1.72,80.59 ± 0.60
280,80.78 ± 0.66,82.26 ± 0.63,78.57 ± 1.78,80.65 ± 0.63
290,80.75 ± 0.65,82.20 ± 0.56,78.57 ± 1.78,80.62 ± 0.63
300,80.78 ± 0.66,82.24 ± 0.61,78.57 ± 1.78,80.65 ± 0.63
310,80.81 ± 0.67,82.29 ± 0.67,78.57 ± 1.78,80.67 ± 0.64
320,80.81 ± 0.67,82.29 ± 0.67,78.57 ± 1.78,80.67 ± 0.64
330,80.81 ± 0.65,82.33 ± 0.69,78.52 ± 1.81,80.67 ± 0.62
340,80.81 ± 0.65,82.33 ± 0.69,78.52 ± 1.81,80.67 ± 0.62
350,80.81 ± 0.65,82.33 ± 0.69,78.52 ± 1.81,80.67 ± 0.62
360,80.83 ± 0.63,82.34 ± 0.68,78.57 ± 1.84,80.70 ± 0.60
370,80.83 ± 0.63,82.34 ± 0.68,78.57 ± 1.84,80.70 ± 0.60
380,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
390,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
400,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
410,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
420,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
430,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
440,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
450,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
460,80.81 ± 0.67,82.30 ± 0.69,78.57 ± 1.84,80.67 ± 0.64
470,80.83 ± 0.66,82.35 ± 0.61,78.57 ± 1.84,80.70 ± 0.63
480,80.83 ± 0.66,82.35 ± 0.61,78.57 ± 1.84,80.70 ± 0.63
