minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
0,55.09 ± 2.67,17.91 ± 7.01,55.49 ± 3.55,72.83 ± 3.52,56.08 ± 3.31
10,65.15 ± 2.37,58.21 ± 4.42,60.81 ± 4.40,76.67 ± 3.48,62.35 ± 6.00
20,67.85 ± 1.58,62.44 ± 3.36,63.46 ± 3.38,78.86 ± 4.83,64.60 ± 5.56
30,68.96 ± 2.22,65.30 ± 4.31,64.33 ± 4.65,79.90 ± 4.12,64.55 ± 5.87
40,68.84 ± 2.67,65.68 ± 4.58,63.20 ± 4.79,79.40 ± 4.26,65.62 ± 5.35
50,69.08 ± 2.73,66.48 ± 4.54,63.20 ± 4.53,79.95 ± 4.09,65.43 ± 5.52
60,68.83 ± 3.02,66.73 ± 3.87,62.11 ± 5.21,79.78 ± 4.24,65.59 ± 5.73
70,68.59 ± 3.41,66.12 ± 4.60,61.94 ± 5.19,78.91 ± 4.43,66.07 ± 5.93
80,68.96 ± 3.37,66.48 ± 4.13,62.38 ± 5.50,79.11 ± 4.65,66.58 ± 6.38
90,69.08 ± 3.17,66.65 ± 3.77,62.67 ± 5.67,79.11 ± 4.65,66.58 ± 6.38
100,69.08 ± 2.92,66.58 ± 4.50,62.76 ± 5.24,79.45 ± 4.31,66.21 ± 6.61
110,69.20 ± 2.99,66.90 ± 4.84,62.92 ± 5.26,79.45 ± 4.31,66.21 ± 6.61
120,69.33 ± 2.93,67.35 ± 4.04,62.92 ± 5.26,79.45 ± 4.31,66.39 ± 6.83
130,69.33 ± 3.08,67.35 ± 4.04,63.21 ± 5.63,79.78 ± 4.24,65.69 ± 7.09
140,69.20 ± 3.28,66.98 ± 4.40,62.78 ± 5.54,79.78 ± 4.28,66.02 ± 7.48
150,69.33 ± 3.25,66.80 ± 4.47,63.05 ± 5.36,79.78 ± 4.28,66.30 ± 7.80
160,69.20 ± 3.23,66.62 ± 4.25,62.80 ± 5.83,79.31 ± 3.82,66.70 ± 7.51
170,69.32 ± 3.40,66.62 ± 4.25,63.09 ± 6.23,79.66 ± 3.45,66.55 ± 7.68
180,69.08 ± 3.19,66.27 ± 4.13,62.45 ± 5.67,79.68 ± 3.69,66.55 ± 7.68
190,69.45 ± 3.26,66.76 ± 4.73,62.59 ± 5.45,79.93 ± 3.74,67.04 ± 7.54
200,69.45 ± 3.26,66.76 ± 4.73,62.61 ± 5.50,79.93 ± 3.74,67.03 ± 7.39
210,69.45 ± 3.46,66.76 ± 4.73,62.81 ± 5.04,80.11 ± 3.82,66.74 ± 7.75
220,69.45 ± 3.46,66.58 ± 5.02,62.67 ± 4.98,80.11 ± 3.82,67.07 ± 7.82
230,69.45 ± 3.46,66.58 ± 5.02,62.67 ± 4.98,80.11 ± 3.82,67.07 ± 7.82
