minute,acc,precision,recall,f1
0,74.46 ± 2.28,69.15 ± 4.40,90.08 ± 5.12,73.34 ± 2.90
10,85.90 ± 0.68,82.06 ± 2.14,92.28 ± 3.99,85.70 ± 0.59
20,89.43 ± 1.06,86.81 ± 1.73,93.13 ± 3.56,89.32 ± 1.04
30,90.86 ± 0.89,88.89 ± 1.24,93.47 ± 3.10,90.77 ± 0.89
40,91.21 ± 1.01,89.41 ± 1.30,93.53 ± 3.17,91.12 ± 1.01
50,91.46 ± 0.94,89.74 ± 1.28,93.66 ± 3.04,91.38 ± 0.93
60,91.77 ± 0.82,90.01 ± 1.29,94.00 ± 2.78,91.69 ± 0.82
70,91.94 ± 0.81,90.21 ± 1.16,94.12 ± 2.66,91.86 ± 0.80
80,92.06 ± 0.74,90.34 ± 1.06,94.24 ± 2.53,91.99 ± 0.73
90,92.10 ± 0.77,90.46 ± 1.07,94.17 ± 2.58,92.03 ± 0.76
100,92.25 ± 0.92,90.67 ± 0.97,94.21 ± 2.64,92.17 ± 0.91
110,92.30 ± 0.90,90.75 ± 1.00,94.24 ± 2.58,92.23 ± 0.89
120,92.60 ± 0.83,91.06 ± 1.02,94.51 ± 2.55,92.53 ± 0.82
130,92.72 ± 0.90,91.25 ± 0.93,94.54 ± 2.58,92.65 ± 0.89
140,92.92 ± 0.80,91.50 ± 0.98,94.69 ± 2.47,92.86 ± 0.80
150,93.09 ± 0.79,91.80 ± 1.00,94.69 ± 2.47,93.02 ± 0.79
160,93.18 ± 0.80,91.96 ± 1.05,94.69 ± 2.47,93.11 ± 0.80
170,93.18 ± 0.82,91.96 ± 1.04,94.69 ± 2.47,93.12 ± 0.81
180,93.14 ± 0.84,91.95 ± 1.01,94.61 ± 2.56,93.08 ± 0.84
190,93.18 ± 0.82,92.02 ± 1.03,94.61 ± 2.48,93.12 ± 0.82
200,93.11 ± 0.82,91.99 ± 0.94,94.46 ± 2.41,93.04 ± 0.82
210,93.11 ± 0.85,91.95 ± 0.92,94.50 ± 2.44,93.04 ± 0.85
220,93.18 ± 0.82,92.06 ± 0.94,94.54 ± 2.42,93.12 ± 0.81
230,93.31 ± 0.84,92.23 ± 0.89,94.61 ± 2.38,93.24 ± 0.84
240,93.38 ± 0.86,92.27 ± 0.87,94.71 ± 2.42,93.32 ± 0.85
250,93.45 ± 0.92,92.33 ± 0.92,94.79 ± 2.47,93.39 ± 0.91
260,93.47 ± 0.94,92.34 ± 0.93,94.82 ± 2.50,93.41 ± 0.94
270,93.51 ± 0.92,92.40 ± 0.95,94.82 ± 2.50,93.45 ± 0.91
280,93.60 ± 0.91,92.52 ± 0.93,94.89 ± 2.56,93.54 ± 0.91
290,93.69 ± 0.91,92.67 ± 0.88,94.89 ± 2.56,93.63 ± 0.91
300,93.69 ± 0.91,92.67 ± 0.88,94.89 ± 2.56,93.63 ± 0.91
310,93.71 ± 0.91,92.67 ± 0.88,94.93 ± 2.54,93.65 ± 0.90
320,93.69 ± 0.93,92.60 ± 0.94,94.97 ± 2.57,93.63 ± 0.93
330,93.73 ± 0.92,92.61 ± 0.98,95.04 ± 2.53,93.67 ± 0.92
340,93.71 ± 0.91,92.58 ± 0.97,95.04 ± 2.53,93.65 ± 0.91
350,93.82 ± 0.91,92.77 ± 1.08,95.04 ± 2.53,93.76 ± 0.91
360,93.87 ± 0.92,92.88 ± 1.00,95.04 ± 2.53,93.82 ± 0.92
370,93.87 ± 0.92,92.88 ± 1.00,95.04 ± 2.53,93.82 ± 0.92
380,93.87 ± 0.92,92.88 ± 1.00,95.04 ± 2.53,93.82 ± 0.92
390,93.88 ± 0.94,92.84 ± 1.01,95.08 ± 2.56,93.82 ± 0.94
400,93.93 ± 0.93,92.90 ± 0.97,95.11 ± 2.50,93.88 ± 0.93
410,93.93 ± 0.93,92.90 ± 0.97,95.11 ± 2.50,93.88 ± 0.93
420,93.95 ± 0.94,92.90 ± 0.97,95.15 ± 2.53,93.89 ± 0.94
430,93.89 ± 0.99,92.94 ± 0.97,95.00 ± 2.66,93.84 ± 0.99
440,93.89 ± 0.99,92.94 ± 0.97,95.00 ± 2.66,93.84 ± 0.99
450,93.93 ± 1.04,92.97 ± 1.00,95.03 ± 2.69,93.87 ± 1.04
460,93.99 ± 1.02,93.04 ± 0.93,95.07 ± 2.67,93.93 ± 1.02
470,93.97 ± 1.01,93.00 ± 0.94,95.07 ± 2.67,93.91 ± 1.01
480,94.02 ± 0.99,93.08 ± 0.88,95.09 ± 2.60,93.97 ± 1.00
