minute,acc,precision,recall,f1
0,82.81 ± 3.56,89.27 ± 8.44,78.77 ± 8.30,82.56 ± 3.50
10,82.81 ± 3.56,88.94 ± 8.92,79.48 ± 8.99,82.58 ± 3.50
20,82.81 ± 3.56,88.94 ± 8.92,79.48 ± 8.99,82.58 ± 3.50
30,83.44 ± 3.22,88.98 ± 8.94,80.51 ± 8.13,83.19 ± 3.19
40,83.44 ± 3.22,88.98 ± 8.94,80.51 ± 8.13,83.19 ± 3.19
50,83.44 ± 3.22,88.98 ± 8.94,80.51 ± 8.13,83.19 ± 3.19
60,83.44 ± 3.22,88.98 ± 8.94,80.51 ± 8.13,83.19 ± 3.19
70,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
80,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
90,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
100,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
110,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
120,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
130,83.12 ± 3.75,88.98 ± 8.94,80.04 ± 8.96,82.89 ± 3.70
140,83.44 ± 3.22,88.98 ± 8.94,80.51 ± 8.13,83.19 ± 3.19
150,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
160,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
170,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
180,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
190,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
200,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
210,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
220,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
230,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
240,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
250,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
260,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
270,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
280,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
290,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
300,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
310,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
320,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
330,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
340,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
350,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
360,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
370,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
380,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
390,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
400,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
410,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
420,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
430,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
440,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
450,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
460,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
470,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
480,83.75 ± 3.65,89.11 ± 8.83,81.31 ± 8.98,83.53 ± 3.64
