minute,acc,precision,recall,f1
10,75.97 ± 2.66,75.68 ± 4.57,77.13 ± 3.59,75.77 ± 2.76
20,76.42 ± 2.47,75.96 ± 4.44,77.91 ± 3.34,76.25 ± 2.57
30,76.67 ± 2.08,75.93 ± 4.34,78.60 ± 3.97,76.47 ± 2.20
40,76.48 ± 2.20,75.82 ± 4.29,78.26 ± 3.73,76.29 ± 2.28
50,76.77 ± 1.93,75.96 ± 3.91,78.60 ± 3.39,76.59 ± 2.03
60,76.94 ± 1.75,76.11 ± 3.79,78.84 ± 4.06,76.75 ± 1.85
70,76.83 ± 1.96,76.06 ± 4.16,78.73 ± 3.86,76.64 ± 2.06
80,76.88 ± 1.78,76.13 ± 3.96,78.66 ± 4.14,76.69 ± 1.89
90,76.96 ± 1.89,76.22 ± 3.98,78.78 ± 3.97,76.79 ± 1.97
100,77.10 ± 1.75,76.29 ± 3.88,78.99 ± 3.91,76.92 ± 1.85
110,76.99 ± 1.70,76.21 ± 3.83,78.85 ± 3.80,76.81 ± 1.79
120,77.04 ± 1.91,76.11 ± 4.06,79.22 ± 3.44,76.87 ± 2.01
130,76.99 ± 1.57,76.03 ± 3.76,79.16 ± 4.49,76.81 ± 1.66
140,76.94 ± 1.88,76.10 ± 4.12,78.85 ± 3.68,76.74 ± 1.98
150,77.20 ± 1.90,76.26 ± 3.99,79.38 ± 4.18,77.03 ± 1.98
160,76.94 ± 2.01,76.06 ± 4.24,79.04 ± 3.60,76.76 ± 2.12
170,76.94 ± 1.87,76.09 ± 4.09,78.94 ± 3.67,76.76 ± 1.97
180,76.99 ± 1.88,76.17 ± 4.11,78.93 ± 3.27,76.81 ± 1.98
190,76.83 ± 1.77,75.91 ± 4.08,78.98 ± 3.76,76.64 ± 1.87
200,76.85 ± 2.04,76.11 ± 4.40,78.72 ± 3.53,76.67 ± 2.16
210,76.88 ± 1.60,75.94 ± 3.73,78.92 ± 3.39,76.71 ± 1.69
220,76.85 ± 1.84,76.06 ± 4.23,78.79 ± 3.67,76.66 ± 1.94
230,77.04 ± 1.79,76.26 ± 4.17,79.00 ± 4.05,76.87 ± 1.88
240,77.02 ± 1.72,76.25 ± 4.04,78.80 ± 3.62,76.83 ± 1.82
250,77.10 ± 1.81,76.13 ± 4.14,79.34 ± 3.46,76.91 ± 1.94
260,77.07 ± 1.65,76.13 ± 3.90,79.25 ± 3.93,76.88 ± 1.75
270,77.04 ± 1.46,76.03 ± 3.53,79.31 ± 3.46,76.87 ± 1.55
280,77.23 ± 1.81,76.23 ± 4.18,79.59 ± 3.39,77.05 ± 1.92
290,77.02 ± 1.99,76.13 ± 4.16,79.10 ± 3.41,76.84 ± 2.09
300,77.07 ± 1.94,76.17 ± 4.22,79.19 ± 3.47,76.89 ± 2.05
310,76.88 ± 1.86,76.05 ± 4.18,78.91 ± 3.66,76.69 ± 1.97
320,77.12 ± 1.83,76.31 ± 4.22,79.08 ± 3.47,76.95 ± 1.93
330,77.37 ± 1.53,76.48 ± 3.92,79.40 ± 3.95,77.18 ± 1.63
340,77.20 ± 1.85,76.25 ± 3.98,79.27 ± 3.57,77.03 ± 1.96
350,77.18 ± 2.00,76.23 ± 4.34,79.31 ± 3.28,76.99 ± 2.11
360,76.94 ± 1.81,76.02 ± 4.03,79.10 ± 3.53,76.75 ± 1.92
370,77.15 ± 1.73,76.26 ± 4.01,79.19 ± 3.71,76.97 ± 1.83
380,76.83 ± 2.17,76.03 ± 4.45,78.80 ± 3.37,76.64 ± 2.28
390,77.28 ± 1.77,76.38 ± 4.05,79.35 ± 3.70,77.10 ± 1.87
400,77.18 ± 1.92,76.28 ± 4.26,79.32 ± 3.74,76.99 ± 2.03
410,77.04 ± 1.81,76.04 ± 3.98,79.28 ± 3.35,76.86 ± 1.91
420,77.10 ± 1.85,76.19 ± 4.06,79.18 ± 3.28,76.92 ± 1.94
430,77.04 ± 1.99,76.15 ± 4.43,79.18 ± 3.68,76.85 ± 2.11
440,76.88 ± 2.09,75.96 ± 4.20,79.02 ± 3.18,76.70 ± 2.19
450,76.91 ± 2.15,76.10 ± 4.45,79.01 ± 3.35,76.73 ± 2.25
460,76.99 ± 1.74,76.09 ± 4.11,79.14 ± 4.04,76.79 ± 1.85
470,76.96 ± 1.93,76.13 ± 4.32,79.04 ± 3.96,76.78 ± 2.04
480,77.10 ± 1.94,76.33 ± 4.24,78.97 ± 3.42,76.92 ± 2.04
