minute,acc,f1_class0,f1_class1,f1_class2,f1_class3
10,67.98 ± 4.88,64.39 ± 9.46,62.82 ± 6.66,79.28 ± 3.41,65.17 ± 7.26
20,69.94 ± 3.93,68.46 ± 7.82,64.32 ± 4.17,79.58 ± 4.09,67.09 ± 8.60
30,69.82 ± 4.97,67.15 ± 7.67,64.61 ± 6.45,79.30 ± 5.10,67.41 ± 8.86
40,68.71 ± 5.22,66.70 ± 7.75,62.79 ± 5.97,78.27 ± 7.14,66.65 ± 7.60
50,68.83 ± 4.06,66.71 ± 7.09,63.03 ± 5.12,78.46 ± 6.48,66.91 ± 6.83
60,67.98 ± 2.62,66.33 ± 7.13,63.57 ± 2.78,76.82 ± 6.39,64.99 ± 6.35
70,69.20 ± 4.58,66.82 ± 9.07,64.36 ± 4.74,78.59 ± 4.99,66.52 ± 6.20
80,69.69 ± 3.35,68.58 ± 7.35,63.21 ± 4.59,79.94 ± 5.17,66.84 ± 3.50
90,70.06 ± 3.77,69.28 ± 5.64,64.62 ± 4.38,78.91 ± 6.27,67.38 ± 5.29
100,70.43 ± 2.51,70.12 ± 4.60,65.13 ± 3.89,79.54 ± 5.31,66.82 ± 4.27
110,70.67 ± 2.79,70.84 ± 3.37,64.51 ± 3.66,80.00 ± 6.31,67.21 ± 5.13
120,71.29 ± 3.32,71.76 ± 4.75,65.03 ± 3.86,79.85 ± 7.48,68.31 ± 6.64
130,70.31 ± 2.24,70.17 ± 3.96,64.71 ± 3.43,80.08 ± 7.02,66.07 ± 4.37
140,71.41 ± 3.49,71.87 ± 3.94,65.66 ± 4.35,79.60 ± 7.70,68.29 ± 5.97
150,70.92 ± 3.57,71.36 ± 4.59,65.62 ± 5.72,79.16 ± 6.74,67.38 ± 5.47
160,70.67 ± 3.02,71.11 ± 3.67,64.88 ± 4.73,80.09 ± 6.31,66.28 ± 5.73
170,70.43 ± 2.86,70.06 ± 3.18,64.55 ± 4.49,79.79 ± 6.92,66.95 ± 5.19
180,70.18 ± 2.66,69.67 ± 3.43,64.28 ± 4.17,78.87 ± 6.90,67.48 ± 4.94
190,70.67 ± 2.72,71.12 ± 3.66,65.18 ± 3.65,79.06 ± 6.70,67.03 ± 5.02
200,70.55 ± 3.73,70.09 ± 5.93,64.93 ± 5.37,79.10 ± 7.32,67.64 ± 4.46
210,70.06 ± 2.79,69.41 ± 5.80,63.99 ± 4.18,79.12 ± 5.97,67.33 ± 4.75
220,70.06 ± 2.39,69.70 ± 5.70,64.06 ± 3.44,79.37 ± 5.89,66.81 ± 2.79
230,70.18 ± 2.66,70.61 ± 6.22,63.36 ± 4.82,79.28 ± 6.75,67.01 ± 4.61
240,69.94 ± 2.42,69.65 ± 2.93,63.99 ± 2.31,78.62 ± 6.53,67.25 ± 5.14
250,70.92 ± 3.02,71.13 ± 4.09,65.21 ± 4.80,79.14 ± 7.18,68.01 ± 5.56
260,69.94 ± 3.39,70.11 ± 5.77,64.35 ± 4.85,78.85 ± 6.07,66.22 ± 4.42
270,70.80 ± 3.46,71.53 ± 4.99,64.88 ± 4.99,79.27 ± 6.71,67.36 ± 5.40
280,71.04 ± 2.99,71.04 ± 5.16,64.84 ± 3.08,79.86 ± 5.34,68.01 ± 4.94
290,70.55 ± 3.95,70.47 ± 6.56,64.23 ± 4.67,79.19 ± 7.64,67.72 ± 7.33
300,70.92 ± 2.15,72.16 ± 3.86,64.57 ± 5.31,79.61 ± 6.01,67.05 ± 5.32
310,70.31 ± 2.36,70.59 ± 5.23,63.05 ± 3.75,80.39 ± 4.64,67.16 ± 4.01
320,71.17 ± 2.81,70.84 ± 5.41,65.17 ± 3.49,80.94 ± 5.85,67.67 ± 4.47
330,71.04 ± 2.27,71.64 ± 3.89,64.31 ± 2.91,79.98 ± 6.39,68.28 ± 6.58
340,70.80 ± 2.44,71.78 ± 3.97,63.92 ± 5.39,80.56 ± 5.21,67.17 ± 3.71
350,70.80 ± 3.21,70.88 ± 4.59,64.32 ± 3.78,80.65 ± 6.65,67.17 ± 6.52
360,70.55 ± 2.97,71.48 ± 4.73,64.30 ± 3.81,79.54 ± 7.63,66.74 ± 5.47
370,71.17 ± 2.49,71.82 ± 4.21,64.60 ± 4.45,79.95 ± 5.37,68.37 ± 6.36
380,70.67 ± 3.87,71.32 ± 6.06,64.07 ± 4.02,79.66 ± 8.05,67.16 ± 4.51
390,70.31 ± 3.29,71.34 ± 5.64,64.27 ± 4.17,78.97 ± 5.44,66.75 ± 6.25
400,70.55 ± 3.47,71.09 ± 6.02,64.24 ± 4.64,79.48 ± 6.74,67.02 ± 5.11
410,71.29 ± 2.69,71.98 ± 4.16,64.79 ± 3.02,80.05 ± 5.86,68.38 ± 6.98
420,69.94 ± 3.68,70.83 ± 4.92,63.11 ± 3.54,79.09 ± 7.06,66.64 ± 6.18
430,71.04 ± 3.17,70.65 ± 6.59,64.38 ± 4.70,80.79 ± 6.29,68.08 ± 6.44
440,70.80 ± 4.13,70.92 ± 5.42,63.98 ± 2.52,79.67 ± 7.78,68.42 ± 6.21
450,70.80 ± 2.40,71.48 ± 4.67,63.53 ± 4.49,80.05 ± 3.77,67.86 ± 4.63
460,71.04 ± 3.17,72.43 ± 4.31,63.75 ± 3.15,80.01 ± 6.50,67.68 ± 5.64
470,70.31 ± 2.83,70.49 ± 5.07,62.80 ± 4.09,80.32 ± 4.94,67.36 ± 4.93
480,70.43 ± 3.26,70.71 ± 6.18,63.94 ± 5.55,79.54 ± 4.44,67.29 ± 5.16
