minute,acc,precision,recall,f1
10,86.71 ± 1.18,85.92 ± 1.60,87.96 ± 3.64,86.60 ± 1.20
20,88.85 ± 1.13,89.22 ± 1.01,88.41 ± 2.74,88.75 ± 1.15
30,89.51 ± 1.56,90.08 ± 0.89,88.87 ± 3.40,89.42 ± 1.59
40,89.47 ± 1.83,90.23 ± 1.21,88.66 ± 3.96,89.38 ± 1.85
50,90.07 ± 1.45,90.52 ± 1.08,89.63 ± 3.23,89.99 ± 1.47
60,90.46 ± 1.34,90.79 ± 0.96,90.11 ± 2.88,90.38 ± 1.35
70,90.38 ± 1.29,90.94 ± 0.96,89.78 ± 2.61,90.30 ± 1.30
80,90.44 ± 1.57,91.01 ± 0.59,89.80 ± 3.03,90.36 ± 1.59
90,90.51 ± 1.30,91.06 ± 1.07,89.85 ± 2.81,90.43 ± 1.32
100,91.26 ± 1.39,91.73 ± 0.96,90.67 ± 2.93,91.18 ± 1.41
110,91.50 ± 1.33,92.08 ± 1.05,90.84 ± 2.75,91.42 ± 1.35
120,91.19 ± 1.51,91.77 ± 1.18,90.57 ± 3.25,91.11 ± 1.53
130,91.57 ± 1.19,92.42 ± 1.51,90.64 ± 2.98,91.50 ± 1.20
140,91.63 ± 1.32,91.98 ± 0.99,91.24 ± 2.85,91.54 ± 1.34
150,91.68 ± 1.02,92.59 ± 1.57,90.73 ± 2.27,91.61 ± 1.03
160,91.63 ± 1.18,92.53 ± 1.27,90.65 ± 2.86,91.55 ± 1.20
170,91.90 ± 1.15,92.69 ± 1.20,91.01 ± 2.58,91.82 ± 1.16
180,91.86 ± 0.80,92.65 ± 1.34,90.94 ± 2.05,91.79 ± 0.82
190,91.70 ± 1.73,92.74 ± 1.09,90.56 ± 3.41,91.63 ± 1.74
200,91.90 ± 1.11,92.66 ± 1.03,91.02 ± 2.61,91.82 ± 1.13
210,91.77 ± 1.18,92.73 ± 1.22,90.70 ± 2.77,91.70 ± 1.20
220,92.10 ± 1.37,93.08 ± 1.21,91.00 ± 3.30,92.03 ± 1.39
230,92.10 ± 1.40,93.03 ± 1.04,91.09 ± 3.00,92.03 ± 1.41
240,92.03 ± 1.34,92.99 ± 1.40,90.98 ± 3.04,91.96 ± 1.35
250,92.43 ± 1.32,93.61 ± 1.12,91.13 ± 2.97,92.37 ± 1.32
260,92.58 ± 1.28,93.25 ± 1.24,91.78 ± 2.64,92.50 ± 1.30
270,92.67 ± 1.29,93.29 ± 1.29,91.98 ± 2.99,92.60 ± 1.31
280,92.27 ± 1.59,93.12 ± 1.28,91.32 ± 3.06,92.20 ± 1.61
290,92.49 ± 1.27,93.65 ± 1.22,91.21 ± 2.76,92.42 ± 1.28
300,92.25 ± 1.37,93.34 ± 1.21,91.00 ± 3.04,92.18 ± 1.40
310,92.41 ± 1.30,93.52 ± 1.29,91.19 ± 2.86,92.35 ± 1.31
320,92.41 ± 1.21,93.34 ± 1.23,91.41 ± 2.62,92.35 ± 1.22
330,92.27 ± 1.27,93.26 ± 1.40,91.16 ± 2.35,92.19 ± 1.28
340,92.43 ± 1.07,93.46 ± 1.29,91.30 ± 2.10,92.36 ± 1.08
350,92.43 ± 1.20,93.59 ± 1.35,91.18 ± 2.76,92.36 ± 1.21
360,92.60 ± 1.36,93.68 ± 1.29,91.47 ± 2.64,92.53 ± 1.37
370,92.74 ± 1.03,93.62 ± 1.38,91.76 ± 2.07,92.68 ± 1.04
380,92.74 ± 1.10,93.76 ± 1.09,91.68 ± 2.56,92.67 ± 1.11
390,92.78 ± 0.99,93.51 ± 1.12,91.98 ± 2.13,92.71 ± 1.00
400,92.69 ± 1.16,93.65 ± 0.81,91.60 ± 2.34,92.62 ± 1.18
410,92.49 ± 1.36,93.38 ± 0.90,91.53 ± 3.09,92.42 ± 1.38
420,92.63 ± 1.09,93.52 ± 1.07,91.65 ± 2.55,92.56 ± 1.10
430,92.65 ± 0.91,93.39 ± 1.01,91.86 ± 2.16,92.59 ± 0.91
440,92.85 ± 1.32,93.59 ± 0.98,92.09 ± 2.88,92.79 ± 1.33
450,92.63 ± 0.86,93.70 ± 1.33,91.44 ± 2.48,92.57 ± 0.87
460,92.65 ± 0.91,93.56 ± 1.17,91.61 ± 2.53,92.59 ± 0.92
470,92.60 ± 1.37,93.54 ± 0.78,91.52 ± 2.93,92.53 ± 1.39
480,92.78 ± 1.15,93.65 ± 0.84,91.78 ± 2.76,92.71 ± 1.17
