minute,acc,precision,recall,f1
10,78.75 ± 9.92,85.79 ± 19.09,79.18 ± 11.23,78.29 ± 10.37
20,80.31 ± 8.01,85.87 ± 17.03,80.64 ± 9.44,79.95 ± 8.17
30,79.69 ± 8.19,86.54 ± 17.61,79.17 ± 11.66,79.36 ± 8.32
40,78.75 ± 10.63,84.90 ± 18.98,80.15 ± 10.12,78.19 ± 11.22
50,78.75 ± 11.30,84.71 ± 19.44,80.64 ± 9.44,78.11 ± 12.06
60,79.06 ± 9.92,85.13 ± 18.51,80.16 ± 9.92,78.57 ± 10.38
70,80.94 ± 9.97,85.46 ± 18.12,82.72 ± 8.08,80.46 ± 10.33
80,79.06 ± 9.67,83.97 ± 18.28,81.20 ± 9.25,78.56 ± 10.15
90,79.38 ± 9.34,84.76 ± 17.61,80.70 ± 10.03,78.93 ± 9.67
100,79.69 ± 11.74,84.89 ± 19.45,82.41 ± 9.26,79.05 ± 12.52
110,79.06 ± 9.02,84.77 ± 18.23,80.15 ± 10.12,78.62 ± 9.37
120,80.62 ± 8.01,85.89 ± 17.05,81.12 ± 8.84,80.25 ± 8.18
130,79.69 ± 10.00,84.61 ± 18.76,81.68 ± 8.67,79.17 ± 10.49
140,79.06 ± 10.40,84.37 ± 19.19,81.12 ± 8.84,78.49 ± 11.02
150,79.69 ± 12.65,84.72 ± 19.88,82.25 ± 8.11,79.09 ± 13.33
160,80.31 ± 12.08,84.82 ± 19.52,83.21 ± 7.60,79.64 ± 12.85
170,80.62 ± 11.57,85.15 ± 19.03,83.52 ± 8.89,80.05 ± 12.19
180,80.00 ± 11.97,84.80 ± 19.51,82.72 ± 8.08,79.33 ± 12.74
190,79.06 ± 13.91,84.32 ± 20.71,82.90 ± 8.87,78.14 ± 15.31
200,79.69 ± 11.69,85.38 ± 20.00,81.68 ± 8.67,79.06 ± 12.47
210,79.06 ± 10.40,83.77 ± 18.75,81.68 ± 8.67,78.48 ± 11.02
220,80.00 ± 11.77,84.97 ± 20.15,82.97 ± 8.99,79.39 ± 12.57
230,79.06 ± 12.28,84.56 ± 19.90,81.68 ± 8.67,78.33 ± 13.23
240,79.06 ± 12.53,84.67 ± 19.86,81.99 ± 10.17,78.36 ± 13.48
250,79.38 ± 11.45,84.76 ± 19.47,81.61 ± 8.35,78.71 ± 12.22
260,80.00 ± 11.02,84.99 ± 19.04,82.17 ± 8.12,79.41 ± 11.63
270,79.69 ± 11.54,84.35 ± 19.74,82.97 ± 8.99,79.07 ± 12.33
280,79.38 ± 11.61,84.76 ± 19.47,81.68 ± 8.67,78.72 ± 12.38
290,79.38 ± 10.68,84.95 ± 19.01,81.12 ± 8.84,78.79 ± 11.28
300,80.31 ± 10.22,85.21 ± 18.58,82.10 ± 7.97,79.78 ± 10.69
310,80.62 ± 11.57,85.15 ± 19.03,83.52 ± 8.89,80.05 ± 12.19
320,79.38 ± 11.45,84.20 ± 19.65,82.17 ± 8.12,78.72 ± 12.23
330,79.06 ± 12.96,83.82 ± 20.49,82.65 ± 7.69,78.22 ± 14.13
340,80.31 ± 11.19,85.12 ± 19.01,82.90 ± 8.87,79.74 ± 11.81
350,78.75 ± 12.03,84.53 ± 19.89,81.12 ± 8.84,78.01 ± 12.98
360,79.69 ± 11.69,84.78 ± 19.49,82.17 ± 8.12,79.02 ± 12.46
370,79.06 ± 11.35,84.14 ± 19.04,81.68 ± 8.67,78.40 ± 12.11
380,79.38 ± 12.27,83.43 ± 19.67,83.21 ± 7.60,78.62 ± 13.23
390,79.06 ± 11.35,83.70 ± 19.14,82.48 ± 9.54,78.43 ± 12.14
400,80.31 ± 11.30,85.01 ± 19.06,82.72 ± 8.08,79.72 ± 11.92
410,79.38 ± 12.37,84.58 ± 19.92,82.17 ± 8.12,78.63 ± 13.32
420,80.00 ± 11.82,84.22 ± 19.10,83.21 ± 7.60,79.32 ± 12.58
430,78.75 ± 12.96,84.36 ± 20.32,81.68 ± 8.67,77.92 ± 14.11
440,78.12 ± 13.40,83.55 ± 20.29,81.68 ± 8.67,77.19 ± 14.77
450,79.38 ± 12.42,84.08 ± 19.47,82.97 ± 8.99,78.65 ± 13.38
460,79.69 ± 11.69,84.20 ± 19.08,82.72 ± 8.08,79.02 ± 12.46
470,79.38 ± 10.96,84.46 ± 18.55,81.99 ± 10.17,78.82 ± 11.57
480,79.69 ± 11.69,84.20 ± 19.08,82.72 ± 8.08,79.02 ± 12.46
