minute,acc,precision,recall,f1
10,90.76 ± 8.43,58.05 ± 2.21,54.63 ± 3.64,63.59 ± 4.61
20,90.57 ± 8.85,57.86 ± 2.63,54.55 ± 3.80,63.10 ± 5.55
30,90.83 ± 8.10,58.05 ± 2.21,54.68 ± 3.61,63.58 ± 4.48
40,90.57 ± 9.13,57.92 ± 2.49,54.94 ± 3.27,63.41 ± 5.40
50,90.96 ± 8.60,57.92 ± 2.49,55.02 ± 3.04,63.60 ± 5.17
60,91.02 ± 8.83,57.99 ± 2.35,55.04 ± 3.01,63.78 ± 5.00
70,90.57 ± 9.47,57.99 ± 2.35,55.16 ± 3.11,63.78 ± 5.39
80,91.15 ± 8.51,57.92 ± 2.49,55.27 ± 2.85,63.84 ± 5.20
90,90.89 ± 8.71,58.04 ± 2.24,55.04 ± 2.75,63.86 ± 4.83
100,90.76 ± 9.54,57.86 ± 2.63,55.25 ± 2.85,63.47 ± 5.86
110,90.83 ± 9.68,57.99 ± 2.35,55.40 ± 2.45,63.77 ± 5.38
120,90.89 ± 9.60,57.86 ± 2.63,55.33 ± 2.71,63.56 ± 5.89
130,90.89 ± 9.41,58.05 ± 2.21,55.45 ± 2.68,64.11 ± 5.13
140,90.83 ± 9.92,58.05 ± 2.22,55.42 ± 2.80,63.95 ± 5.32
150,90.70 ± 10.18,57.92 ± 2.49,55.44 ± 2.57,63.70 ± 5.92
160,90.89 ± 10.08,58.05 ± 2.21,55.54 ± 2.38,68.01 ± 11.50
170,91.08 ± 9.66,57.92 ± 2.49,55.63 ± 2.37,63.85 ± 5.68
180,90.89 ± 9.56,57.99 ± 2.35,55.44 ± 2.51,63.92 ± 5.38
190,91.34 ± 9.62,57.99 ± 2.35,55.81 ± 2.29,64.23 ± 5.46
200,90.13 ± 10.96,57.80 ± 2.76,55.17 ± 2.90,62.99 ± 6.77
210,90.76 ± 9.88,57.86 ± 2.63,55.35 ± 2.79,63.57 ± 6.07
220,90.51 ± 10.56,57.92 ± 2.49,55.48 ± 2.35,63.55 ± 6.06
230,90.83 ± 9.59,57.99 ± 2.35,55.27 ± 2.95,63.80 ± 5.38
240,90.51 ± 10.57,57.92 ± 2.49,55.54 ± 2.50,63.56 ± 6.09
250,90.64 ± 10.14,57.99 ± 2.35,55.42 ± 2.60,63.75 ± 5.64
260,90.83 ± 10.59,57.99 ± 2.36,55.83 ± 2.50,64.08 ± 6.00
270,90.76 ± 10.22,57.86 ± 2.63,55.50 ± 2.65,67.68 ± 12.20
280,90.57 ± 10.79,57.80 ± 2.76,55.64 ± 2.41,63.43 ± 6.79
290,90.51 ± 10.61,57.92 ± 2.49,55.33 ± 2.61,63.50 ± 6.07
300,90.83 ± 9.91,58.05 ± 2.22,55.44 ± 2.71,64.00 ± 5.32
310,90.76 ± 10.38,57.86 ± 2.63,55.48 ± 2.48,67.60 ± 12.12
320,90.70 ± 10.54,57.93 ± 2.49,55.54 ± 2.69,63.80 ± 6.16
330,90.76 ± 10.19,58.05 ± 2.21,55.54 ± 2.45,63.89 ± 5.39
340,90.57 ± 10.24,58.05 ± 2.21,55.48 ± 2.35,63.82 ± 5.41
350,90.19 ± 10.77,57.92 ± 2.49,55.33 ± 2.61,63.39 ± 6.17
360,90.51 ± 11.13,57.99 ± 2.35,55.75 ± 2.48,63.87 ± 6.20
370,90.96 ± 10.28,57.99 ± 2.35,55.73 ± 2.33,64.01 ± 5.75
380,90.57 ± 10.95,57.92 ± 2.49,55.73 ± 2.14,63.72 ± 6.30
390,90.57 ± 10.24,57.86 ± 2.63,55.48 ± 2.38,63.47 ± 6.20
400,90.76 ± 10.22,57.86 ± 2.63,55.48 ± 2.56,63.54 ± 6.19
410,90.57 ± 10.79,57.92 ± 2.49,55.64 ± 2.36,63.68 ± 6.23
420,90.64 ± 10.99,57.99 ± 2.35,55.73 ± 2.22,63.85 ± 6.08
430,90.64 ± 10.67,57.92 ± 2.49,55.48 ± 2.60,63.59 ± 6.13
440,90.64 ± 11.02,57.99 ± 2.36,55.73 ± 2.54,63.87 ± 6.15
450,91.15 ± 10.03,57.93 ± 2.49,56.04 ± 2.22,64.15 ± 6.00
460,90.64 ± 10.64,57.93 ± 2.49,55.79 ± 2.32,63.77 ± 6.19
470,90.96 ± 10.81,57.99 ± 2.35,56.04 ± 2.03,64.15 ± 6.06
480,90.13 ± 11.26,57.93 ± 2.49,55.56 ± 2.65,63.46 ± 6.51
